,emb_that,emb_wh,emb_whether,pairID
24,Benjamin is discovering that Karen knew that some banks grows every pepper.,Benjamin is discovering what Karen knew that some banks grows.,Benjamin is discovering that Karen knew whether some banks grows every pepper.,24
25,All patients wouldn't learn that Nicole discovers that an offspring ascends many ladders.,All patients wouldn't learn what Nicole discovers that an offspring ascends.,All patients wouldn't learn that Nicole discovers whether an offspring ascends many ladders.,25
26,Sandra realized that George hasn't remembered that some partner had climbed down most stairs.,Sandra realized what George hasn't remembered that some partner had climbed down.,Sandra realized that George hasn't remembered whether some partner had climbed down most stairs.,26
27,Carl is investigating that Peter reveals that some pedestrian isn't breaking some cups.,Carl is investigating what Peter reveals that some pedestrian isn't breaking.,Carl is investigating that Peter reveals whether some pedestrian isn't breaking some cups.,27
28,Carl was learning that Curtis investigates that the man can love Kirsten.,Carl was learning who Curtis investigates that the man can love.,Carl was learning that Curtis investigates whether the man can love Kirsten.,28
29,Theodore forgets that Jason has figured out that some waiters struck an actor.,Theodore forgets who Jason has figured out that some waiters struck.,Theodore forgets that Jason has figured out whether some waiters struck an actor.,29
30,Some ladies know that Patrick realizes that every museum cared for Gina.,Some ladies know who Patrick realizes that every museum cared for.,Some ladies know that Patrick realizes whether every museum cared for Gina.,30
31,Stacey hadn't realized that Emily had known that that senator has discovered Dana.,Stacey hadn't realized who Emily had known that that senator has discovered.,Stacey hadn't realized that Emily had known whether that senator has discovered Dana.,31
32,Kenneth remembered that a student had investigated that the company researched the commentaries.,Kenneth remembered what a student had investigated that the company researched.,Kenneth remembered that a student had investigated whether the company researched the commentaries.,32
33,John hadn't investigated that Alan has realized that some school drove the skateboards.,John hadn't investigated what Alan has realized that some school drove.,John hadn't investigated that Alan has realized whether some school drove the skateboards.,33
34,This customer hasn't learned that Emily finds out that the hairdresser aggravated Steve.,This customer hasn't learned who Emily finds out that the hairdresser aggravated.,This customer hasn't learned that Emily finds out whether the hairdresser aggravated Steve.,34
35,Those electricians had known that governments realize that many customers shock a lot of companies.,Those electricians had known what governments realize that many customers shock.,Those electricians had known that governments realize whether many customers shock a lot of companies.,35
36,Benjamin knew that many guests hadn't learned that a lot of waiters bit Wayne.,Benjamin knew who many guests hadn't learned that a lot of waiters bit.,Benjamin knew that many guests hadn't learned whether a lot of waiters bit Wayne.,36
37,Amy hadn't concealed that Elaine has discovered that that government had lit a lot of projectors.,Amy hadn't concealed what Elaine has discovered that that government had lit.,Amy hadn't concealed that Elaine has discovered whether that government had lit a lot of projectors.,37
38,This waitress is remembering that these senators aren't investigating that the patients insults Andrew.,This waitress is remembering who these senators aren't investigating that the patients insults.,This waitress is remembering that these senators aren't investigating whether the patients insults Andrew.,38
39,Renee has forgotten that Sabrina remembered that that teenager had liked Amy.,Renee has forgotten who Sabrina remembered that that teenager had liked.,Renee has forgotten that Sabrina remembered whether that teenager had liked Amy.,39
40,The French teachers know that Maria is remembering that the senator was complaining about this French teacher.,The French teachers know who Maria is remembering that the senator was complaining about.,The French teachers know that Maria is remembering whether the senator was complaining about this French teacher.,40
41,All children know that those drivers weren't figuring out that these boys had argued about Wendy.,All children know who those drivers weren't figuring out that these boys had argued about.,All children know that those drivers weren't figuring out whether these boys had argued about Wendy.,41
42,Matt would realize that Melanie investigates that every offspring cleaned every cup.,Matt would realize what Melanie investigates that every offspring cleaned.,Matt would realize that Melanie investigates whether every offspring cleaned every cup.,42
43,Martin figures out that some teachers remember that alumni had bored Melanie.,Martin figures out who some teachers remember that alumni had bored.,Martin figures out that some teachers remember whether alumni had bored Melanie.,43
44,This contractor isn't discovering that Kristin hadn't forgotten that most ladies would sink the canoe.,This contractor isn't discovering what Kristin hadn't forgotten that most ladies would sink.,This contractor isn't discovering that Kristin hadn't forgotten whether most ladies would sink the canoe.,44
45,Jane discovers that Debra reveals that a woman respected Anne.,Jane discovers who Debra reveals that a woman respected.,Jane discovers that Debra reveals whether a woman respected Anne.,45
46,Some children realized that a lot of partners realize that the doctors should complain about Brad.,Some children realized who a lot of partners realize that the doctors should complain about.,Some children realized that a lot of partners realize whether the doctors should complain about Brad.,46
47,Gary remembers that every committee remembers that some lawyer aggravate most people.,Gary remembers who every committee remembers that some lawyer aggravate.,Gary remembers that every committee remembers whether some lawyer aggravate most people.,47
48,Christine isn't discovering that Ann found out that a hospital fixed some ship.,Christine isn't discovering what Ann found out that a hospital fixed.,Christine isn't discovering that Ann found out whether a hospital fixed some ship.,48
49,Kevin concealed that Carol had investigated that some waiters watch Sarah.,Kevin concealed who Carol had investigated that some waiters watch.,Kevin concealed that Carol had investigated whether some waiters watch Sarah.,49
50,Mitchell isn't realizing that the Lutherans hadn't revealed that the dancer can't sell a couch.,Mitchell isn't realizing what the Lutherans hadn't revealed that the dancer can't sell.,Mitchell isn't realizing that the Lutherans hadn't revealed whether the dancer can't sell a couch.,50
51,A tutor could investigate that a person concealed that oncologists weren't biting many tutors.,A tutor could investigate who a person concealed that oncologists weren't biting.,A tutor could investigate that a person concealed whether oncologists weren't biting many tutors.,51
52,This doctor is investigating that Winston Churchill had revealed that this boy is aggravating this contractor.,This doctor is investigating who Winston Churchill had revealed that this boy is aggravating.,This doctor is investigating that Winston Churchill had revealed whether this boy is aggravating this contractor.,52
53,Patricia wasn't forgetting that some doctor had found out that some companies heals Kevin.,Patricia wasn't forgetting who some doctor had found out that some companies heals.,Patricia wasn't forgetting that some doctor had found out whether some companies heals Kevin.,53
54,Donna isn't forgetting that Valerie conceals that the bank loses these cats.,Donna isn't forgetting what Valerie conceals that the bank loses.,Donna isn't forgetting that Valerie conceals whether the bank loses these cats.,54
55,All senators weren't learning that William has investigated that that university is lighting the candle.,All senators weren't learning what William has investigated that that university is lighting.,All senators weren't learning that William has investigated whether that university is lighting the candle.,55
56,Women realize that some man learned that some electricians reveals cars.,Women realize what some man learned that some electricians reveals.,Women realize that some man learned whether some electricians reveals cars.,56
57,Piano teachers did discover that this library discovered that those customers climbed up most hills.,Piano teachers did discover what this library discovered that those customers climbed up.,Piano teachers did discover that this library discovered whether those customers climbed up most hills.,57
58,Those organizations discover that most electricians had revealed that many governments work with Aaron.,Those organizations discover who most electricians had revealed that many governments work with.,Those organizations discover that most electricians had revealed whether many governments work with Aaron.,58
59,Maria forgets that Thomas isn't investigating that every committee wasn't returning to the waitresses.,Maria forgets who Thomas isn't investigating that every committee wasn't returning to.,Maria forgets that Thomas isn't investigating whether every committee wasn't returning to the waitresses.,59
60,Janice discovers that the actors find out that the governments underwhelms Martin.,Janice discovers who the actors find out that the governments underwhelms.,Janice discovers that the actors find out whether the governments underwhelms Martin.,60
61,Every library hadn't concealed that those governments discover that handymen were confusing this adult.,Every library hadn't concealed who those governments discover that handymen were confusing.,Every library hadn't concealed that those governments discover whether handymen were confusing this adult.,61
62,Rose shouldn't learn that Kevin might discover that the offspring hear Tamara.,Rose shouldn't learn who Kevin might discover that the offspring hear.,Rose shouldn't learn that Kevin might discover whether the offspring hear Tamara.,62
63,Most associates learned that Tracy conceals that that customer can't drive those carriages.,Most associates learned what Tracy conceals that that customer can't drive.,Most associates learned that Tracy conceals whether that customer can't drive those carriages.,63
64,The Impressionists investigate that Sarah finds out that a person aggravate Kendra.,The Impressionists investigate who Sarah finds out that a person aggravate.,The Impressionists investigate that Sarah finds out whether a person aggravate Kendra.,64
65,Todd wasn't learning that Cynthia found out that some alumni broke some bike.,Todd wasn't learning what Cynthia found out that some alumni broke.,Todd wasn't learning that Cynthia found out whether some alumni broke some bike.,65
66,Those piano teachers concealed that Ellen investigates that every boy might expose Barbara.,Those piano teachers concealed who Ellen investigates that every boy might expose.,Those piano teachers concealed that Ellen investigates whether every boy might expose Barbara.,66
67,Patrick conceals that Jodi reveals that some person has spent most checks.,Patrick conceals what Jodi reveals that some person has spent.,Patrick conceals that Jodi reveals whether some person has spent most checks.,67
68,Kenneth will remember that some person had concealed that most contractors were bothering Scott.,Kenneth will remember who some person had concealed that most contractors were bothering.,Kenneth will remember that some person had concealed whether most contractors were bothering Scott.,68
69,Diane hasn't remembered that most companies couldn't find out that French teachers were arguing about Gina.,Diane hasn't remembered who most companies couldn't find out that French teachers were arguing about.,Diane hasn't remembered that most companies couldn't find out whether French teachers were arguing about Gina.,69
70,Most tutors concealed that Mary investigated that this piano teacher didn't hear Tiffany.,Most tutors concealed who Mary investigated that this piano teacher didn't hear.,Most tutors concealed that Mary investigated whether this piano teacher didn't hear Tiffany.,70
71,Tamara investigates that an organization has concealed that the library will break every glass.,Tamara investigates what an organization has concealed that the library will break.,Tamara investigates that an organization has concealed whether the library will break every glass.,71
72,Ellen is concealing that this contractor hadn't figured out that that alumnus cared for Nina.,Ellen is concealing who this contractor hadn't figured out that that alumnus cared for.,Ellen is concealing that this contractor hadn't figured out whether that alumnus cared for Nina.,72
73,Sharon has forgotten that Anne hadn't revealed that that government freeze every glacier.,Sharon has forgotten what Anne hadn't revealed that that government freeze.,Sharon has forgotten that Anne hadn't revealed whether that government freeze every glacier.,73
74,A committee discovers that Kathleen had concealed that some association spend this cash.,A committee discovers what Kathleen had concealed that some association spend.,A committee discovers that Kathleen had concealed whether some association spend this cash.,74
75,Eric has found out that Laurie was revealing that the ladies didn't steal couches.,Eric has found out what Laurie was revealing that the ladies didn't steal.,Eric has found out that Laurie was revealing whether the ladies didn't steal couches.,75
76,Some legislature can't know that Chad could discover that the patients would overwhelm Martha.,Some legislature can't know who Chad could discover that the patients would overwhelm.,Some legislature can't know that Chad could discover whether the patients would overwhelm Martha.,76
77,Larry can find out that this oncologist has remembered that an oncologist buy some hill.,Larry can find out what this oncologist has remembered that an oncologist buy.,Larry can find out that this oncologist has remembered whether an oncologist buy some hill.,77
78,Tracy finds out that Peter is figuring out that that patient tours a lot of high schools.,Tracy finds out what Peter is figuring out that that patient tours.,Tracy finds out that Peter is figuring out whether that patient tours a lot of high schools.,78
79,Steve isn't forgetting that Noah realizes that that waiter listens to Maria.,Steve isn't forgetting who Noah realizes that that waiter listens to.,Steve isn't forgetting that Noah realizes whether that waiter listens to Maria.,79
80,This library realized that Naomi doesn't find out that these banks haven't described Eric.,This library realized who Naomi doesn't find out that these banks haven't described.,This library realized that Naomi doesn't find out whether these banks haven't described Eric.,80
81,An actress was discovering that Pamela had discovered that some teacher does drink milk.,An actress was discovering what Pamela had discovered that some teacher does drink.,An actress was discovering that Pamela had discovered whether some teacher does drink milk.,81
82,Eva is forgetting that Peter conceals that that woman freeze the lakes.,Eva is forgetting what Peter conceals that that woman freeze.,Eva is forgetting that Peter conceals whether that woman freeze the lakes.,82
83,This podiatrist had forgotten that Travis hadn't discovered that this teacher could boast about Michael.,This podiatrist had forgotten who Travis hadn't discovered that this teacher could boast about.,This podiatrist had forgotten that Travis hadn't discovered whether this teacher could boast about Michael.,83
84,Companies learn that Carrie hadn't concealed that these governments confuses Naomi.,Companies learn who Carrie hadn't concealed that these governments confuses.,Companies learn that Carrie hadn't concealed whether these governments confuses Naomi.,84
85,Carolyn figured out that Heather learned that that girl leaves the actors.,Carolyn figured out who Heather learned that that girl leaves.,Carolyn figured out that Heather learned whether that girl leaves the actors.,85
86,Alice can figure out that Lisa discovered that many offspring hug the contractors.,Alice can figure out who Lisa discovered that many offspring hug.,Alice can figure out that Lisa discovered whether many offspring hug the contractors.,86
87,Joseph was discovering that Heather hasn't learned that many partners sold that cake.,Joseph was discovering what Heather hasn't learned that many partners sold.,Joseph was discovering that Heather hasn't learned whether many partners sold that cake.,87
88,Elizabeth isn't learning that those committees find out that those universities are buying a lot of candles.,Elizabeth isn't learning what those committees find out that those universities are buying.,Elizabeth isn't learning that those committees find out whether those universities are buying a lot of candles.,88
89,Some girl hasn't learned that Galileo forgets that some woman purchased every mirror.,Some girl hasn't learned what Galileo forgets that some woman purchased.,Some girl hasn't learned that Galileo forgets whether some woman purchased every mirror.,89
90,Wendy was concealing that a lot of French teachers conceal that most people bred those birds.,Wendy was concealing what a lot of French teachers conceal that most people bred.,Wendy was concealing that a lot of French teachers conceal whether most people bred those birds.,90
91,Stacey knows that Sally hadn't discovered that those waitresses passes some hills.,Stacey knows what Sally hadn't discovered that those waitresses passes.,Stacey knows that Sally hadn't discovered whether those waitresses passes some hills.,91
92,Rebecca hasn't investigated that Diane can't learn that a company hadn't hated Melanie.,Rebecca hasn't investigated who Diane can't learn that a company hadn't hated.,Rebecca hasn't investigated that Diane can't learn whether a company hadn't hated Melanie.,92
93,Angela knows that Craig isn't learning that that actor was returning to all guests.,Angela knows who Craig isn't learning that that actor was returning to.,Angela knows that Craig isn't learning whether that actor was returning to all guests.,93
94,Angela remembers that all drivers learn that these boys wouldn't impress Lawrence.,Angela remembers who all drivers learn that these boys wouldn't impress.,Angela remembers that all drivers learn whether these boys wouldn't impress Lawrence.,94
95,Wayne reveals that those handymen found out that some men hide Craig.,Wayne reveals who those handymen found out that some men hide.,Wayne reveals that those handymen found out whether some men hide Craig.,95
96,That museum isn't figuring out that Andrew knows that every tutor aid Debra.,That museum isn't figuring out who Andrew knows that every tutor aid.,That museum isn't figuring out that Andrew knows whether every tutor aid Debra.,96
97,Every dentist hasn't concealed that the Clintons investigate that a lot of people had met Sheila.,Every dentist hasn't concealed who the Clintons investigate that a lot of people had met.,Every dentist hasn't concealed that the Clintons investigate whether a lot of people had met Sheila.,97
98,These waiters forget that Barbara revealed that the woman hadn't overwhelmed Julie.,These waiters forget who Barbara revealed that the woman hadn't overwhelmed.,These waiters forget that Barbara revealed whether the woman hadn't overwhelmed Julie.,98
99,Roger realized that Brenda had investigated that every piano teacher wasn't aggravating Rose.,Roger realized who Brenda had investigated that every piano teacher wasn't aggravating.,Roger realized that Brenda had investigated whether every piano teacher wasn't aggravating Rose.,99
100,A child had figured out that Mark realizes that every contractor isn't healing Timothy.,A child had figured out who Mark realizes that every contractor isn't healing.,A child had figured out that Mark realizes whether every contractor isn't healing Timothy.,100
101,George hasn't forgotten that Natalie hadn't learned that the partner questioned Carolyn.,George hasn't forgotten who Natalie hadn't learned that the partner questioned.,George hasn't forgotten that Natalie hadn't learned whether the partner questioned Carolyn.,101
102,A pedestrian realized that Carmen found out that some hairdressers astounded that partner.,A pedestrian realized who Carmen found out that some hairdressers astounded.,A pedestrian realized that Carmen found out whether some hairdressers astounded that partner.,102
103,Those men have known that most drivers realize that these schools lit every spotlight.,Those men have known what most drivers realize that these schools lit.,Those men have known that most drivers realize whether these schools lit every spotlight.,103
104,Alexander learned that Roger reveals that every piano teacher kept some cake.,Alexander learned what Roger reveals that every piano teacher kept.,Alexander learned that Roger reveals whether every piano teacher kept some cake.,104
105,The waiter figures out that Wayne investigated that those governments had many skateboards.,The waiter figures out what Wayne investigated that those governments had.,The waiter figures out that Wayne investigated whether those governments had many skateboards.,105
106,These actors forget that most lawyers don't reveal that the waitress exit some glacier.,These actors forget what most lawyers don't reveal that the waitress exit.,These actors forget that most lawyers don't reveal whether the waitress exit some glacier.,106
107,All teenagers discover that Connie might discover that some waiters could forgive Steve.,All teenagers discover who Connie might discover that some waiters could forgive.,All teenagers discover that Connie might discover whether some waiters could forgive Steve.,107
108,Organizations had forgotten that Jessica would know that this senator isn't cleaning that hospital.,Organizations had forgotten what Jessica would know that this senator isn't cleaning.,Organizations had forgotten that Jessica would know whether this senator isn't cleaning that hospital.,108
109,Gina didn't reveal that many museums discover that the hairdressers aren't singing this song.,Gina didn't reveal what many museums discover that the hairdressers aren't singing.,Gina didn't reveal that many museums discover whether the hairdressers aren't singing this song.,109
110,Amy isn't realizing that Eric knew that these associates drank soda.,Amy isn't realizing what Eric knew that these associates drank.,Amy isn't realizing that Eric knew whether these associates drank soda.,110
111,Many drivers learn that Allison would discover that pedestrians had questioned many dentists.,Many drivers learn who Allison would discover that pedestrians had questioned.,Many drivers learn that Allison would discover whether pedestrians had questioned many dentists.,111
112,Donna has discovered that Randolf hadn't figured out that all senators bores Dawn.,Donna has discovered who Randolf hadn't figured out that all senators bores.,Donna has discovered that Randolf hadn't figured out whether all senators bores Dawn.,112
113,Tiffany had found out that Stephen is learning that this lady will watch Jesus.,Tiffany had found out who Stephen is learning that this lady will watch.,Tiffany had found out that Stephen is learning whether this lady will watch Jesus.,113
114,These piano teachers conceal that Martin wasn't learning that many patients fixes the window.,These piano teachers conceal what Martin wasn't learning that many patients fixes.,These piano teachers conceal that Martin wasn't learning whether many patients fixes the window.,114
115,Rebecca should learn that Beth has revealed that some electricians hindered Diane.,Rebecca should learn who Beth has revealed that some electricians hindered.,Rebecca should learn that Beth has revealed whether some electricians hindered Diane.,115
116,Gerald has revealed that Pamela had investigated that the company was admiring Brad.,Gerald has revealed who Pamela had investigated that the company was admiring.,Gerald has revealed that Pamela had investigated whether the company was admiring Brad.,116
117,Most teachers conceal that a lot of oncologists weren't discovering that most pedestrians underwhelms many podiatrists.,Most teachers conceal who a lot of oncologists weren't discovering that most pedestrians underwhelms.,Most teachers conceal that a lot of oncologists weren't discovering whether most pedestrians underwhelms many podiatrists.,117
118,Many adults have realized that Alexander hadn't revealed that the associates couldn't disagree with Bruce.,Many adults have realized who Alexander hadn't revealed that the associates couldn't disagree with.,Many adults have realized that Alexander hadn't revealed whether the associates couldn't disagree with Bruce.,118
119,Phillip isn't figuring out that a waiter forgets that this person worried most drivers.,Phillip isn't figuring out who a waiter forgets that this person worried.,Phillip isn't figuring out that a waiter forgets whether this person worried most drivers.,119
120,Michael will realize that Barbara wasn't forgetting that that person hasn't sounded like Kimberley.,Michael will realize who Barbara wasn't forgetting that that person hasn't sounded like.,Michael will realize that Barbara wasn't forgetting whether that person hasn't sounded like Kimberley.,120
121,Patricia can't remember that all pedestrians forget that all contractors could explore Spain.,Patricia can't remember what all pedestrians forget that all contractors could explore.,Patricia can't remember that all pedestrians forget whether all contractors could explore Spain.,121
122,Some electrician wasn't remembering that the Impressionists remember that all students impressed Curtis.,Some electrician wasn't remembering who the Impressionists remember that all students impressed.,Some electrician wasn't remembering that the Impressionists remember whether all students impressed Curtis.,122
123,Valerie wouldn't reveal that Lori does know that an oncologist wasn't driving to a movie theater.,Valerie wouldn't reveal what Lori does know that an oncologist wasn't driving to.,Valerie wouldn't reveal that Lori does know whether an oncologist wasn't driving to a movie theater.,123
124,Every university figured out that Tanya has discovered that every girl had lit many screens.,Every university figured out what Tanya has discovered that every girl had lit.,Every university figured out that Tanya has discovered whether every girl had lit many screens.,124
125,Harvard University has concealed that Erin might remember that this committee hadn't worried Elaine.,Harvard University has concealed who Erin might remember that this committee hadn't worried.,Harvard University has concealed that Erin might remember whether this committee hadn't worried Elaine.,125
126,Most schools investigated that some French teachers realize that these handymen ran around this museum.,Most schools investigated what some French teachers realize that these handymen ran around.,Most schools investigated that some French teachers realize whether these handymen ran around this museum.,126
127,Many legislatures conceal that some committees remember that a lot of offspring hadn't noticed the picture.,Many legislatures conceal what some committees remember that a lot of offspring hadn't noticed.,Many legislatures conceal that some committees remember whether a lot of offspring hadn't noticed the picture.,127
128,Emily hasn't discovered that Teresa forgets that that French teacher clean water.,Emily hasn't discovered what Teresa forgets that that French teacher clean.,Emily hasn't discovered that Teresa forgets whether that French teacher clean water.,128
129,Sheila is finding out that Angela concealed that most organizations were climbing up the mountains.,Sheila is finding out what Angela concealed that most organizations were climbing up.,Sheila is finding out that Angela concealed whether most organizations were climbing up the mountains.,129
130,Pamela was forgetting that every oncologist is concealing that some hairdresser approached Martin.,Pamela was forgetting who every oncologist is concealing that some hairdresser approached.,Pamela was forgetting that every oncologist is concealing whether some hairdresser approached Martin.,130
131,Veronica conceals that Bill wasn't remembering that the senator had resembled most pictures.,Veronica conceals what Bill wasn't remembering that the senator had resembled.,Veronica conceals that Bill wasn't remembering whether the senator had resembled most pictures.,131
132,The podiatrists discover that Melissa has remembered that every oncologist arrive at a lot of glaciers.,The podiatrists discover what Melissa has remembered that every oncologist arrive at.,The podiatrists discover that Melissa has remembered whether every oncologist arrive at a lot of glaciers.,132
133,Kristen conceals that many schools haven't found out that this university discovered that report.,Kristen conceals what many schools haven't found out that this university discovered.,Kristen conceals that many schools haven't found out whether this university discovered that report.,133
134,Brian finds out that Andrew conceals that this teenager will sell a mirror.,Brian finds out what Andrew conceals that this teenager will sell.,Brian finds out that Andrew conceals whether this teenager will sell a mirror.,134
135,That guy had remembered that Denise isn't forgetting that every teacher won't teach Colleen.,That guy had remembered who Denise isn't forgetting that every teacher won't teach.,That guy had remembered that Denise isn't forgetting whether every teacher won't teach Colleen.,135
136,A lot of podiatrists figure out that some libraries remember that many adults sing every song.,A lot of podiatrists figure out what some libraries remember that many adults sing.,A lot of podiatrists figure out that some libraries remember whether many adults sing every song.,136
137,Winston Churchill realizes that Jesus shouldn't find out that all guests drives most carriages.,Winston Churchill realizes what Jesus shouldn't find out that all guests drives.,Winston Churchill realizes that Jesus shouldn't find out whether all guests drives most carriages.,137
138,David is investigating that all customers learn that all teenagers were buying that fork.,David is investigating what all customers learn that all teenagers were buying.,David is investigating that all customers learn whether all teenagers were buying that fork.,138
139,Pamela learns that some driver does realize that every alumnus hasn't worked with Jill.,Pamela learns who some driver does realize that every alumnus hasn't worked with.,Pamela learns that some driver does realize whether every alumnus hasn't worked with Jill.,139
140,Those oncologists discovered that Sonia has found out that every waitress doesn't bite Nina.,Those oncologists discovered who Sonia has found out that every waitress doesn't bite.,Those oncologists discovered that Sonia has found out whether every waitress doesn't bite Nina.,140
141,These banks conceal that all partners were figuring out that those waiters biked to most lakes.,These banks conceal what all partners were figuring out that those waiters biked to.,These banks conceal that all partners were figuring out whether those waiters biked to most lakes.,141
142,Janice conceals that Rebecca knows that every alumnus had impressed some actress.,Janice conceals who Rebecca knows that every alumnus had impressed.,Janice conceals that Rebecca knows whether every alumnus had impressed some actress.,142
143,All girls realize that Chad investigated that this French teacher fights Jennifer.,All girls realize who Chad investigated that this French teacher fights.,All girls realize that Chad investigated whether this French teacher fights Jennifer.,143
144,Spain conceals that Jerry remembered that the podiatrist hadn't biked to the Great Lakes.,Spain conceals what Jerry remembered that the podiatrist hadn't biked to.,Spain conceals that Jerry remembered whether the podiatrist hadn't biked to the Great Lakes.,144
145,Phillip figures out that Larry wouldn't realize that a government distracts some men.,Phillip figures out who Larry wouldn't realize that a government distracts.,Phillip figures out that Larry wouldn't realize whether a government distracts some men.,145
146,A lot of contractors couldn't conceal that Scott wasn't concealing that some boys noticed some books.,A lot of contractors couldn't conceal what Scott wasn't concealing that some boys noticed.,A lot of contractors couldn't conceal that Scott wasn't concealing whether some boys noticed some books.,146
147,Carl wasn't discovering that David found out that many contractors have fired Gregory.,Carl wasn't discovering who David found out that many contractors have fired.,Carl wasn't discovering that David found out whether many contractors have fired Gregory.,147
148,That patient wasn't revealing that Kirsten concealed that some senator doesn't see Melanie.,That patient wasn't revealing who Kirsten concealed that some senator doesn't see.,That patient wasn't revealing that Kirsten concealed whether some senator doesn't see Melanie.,148
149,The Impressionists reveal that some actors know that these women can watch the Impressionists.,The Impressionists reveal who some actors know that these women can watch.,The Impressionists reveal that some actors know whether these women can watch the Impressionists.,149
150,Every oncologist investigated that most hospitals haven't known that every adult does sweep these tiles.,Every oncologist investigated what most hospitals haven't known that every adult does sweep.,Every oncologist investigated that most hospitals haven't known whether every adult does sweep these tiles.,150
151,Wayne isn't revealing that Rose would realize that the legislatures run around this college campus.,Wayne isn't revealing what Rose would realize that the legislatures run around.,Wayne isn't revealing that Rose would realize whether the legislatures run around this college campus.,151
