,item,Correct,gap,island,C1,C2,Response
0,7,FALSE,yes,rc_obj_island,She knows that the doorman accepted the delivery which shocked,She knows who the doorman accepted the delivery which shocked,Both sequences are complete sentences.
0,8,FALSE,yes,rc_obj_island,We all remember that the mailman lost the package which Sarah described to,We all remember who the mailman lost the package which Sarah described to,Both sequences are complete sentences.
0,9,FALSE,yes,rc_obj_island,My friend reported that we listened to the symphony which was dedicated to,My friend reported who we listened to the symphony which was dedicated to,Both sequences are complete sentences.
0,11,FALSE,yes,rc_obj_island,She can guess that my friend wrote a forward which introduced,She can guess what my friend wrote a forward which introduced,"""She can guess that my friend wrote a forward which introduced over the weekend."""
0,12,FALSE,yes,rc_obj_island,The newspaper reported that she made the salad dressing from a mix which included,The newspaper reported what she made the salad dressing from a mix which included,"""The newspaper reported that she made the salad dressing from a mix which included every time she cooked."""
0,13,FALSE,yes,rc_obj_island,We recall that the blogger drafted a critique which was aimed at,We recall what the blogger drafted a critique which was aimed at,Both sequences are complete sentences.
0,14,FALSE,yes,rc_obj_island,I remember that the politician wrote a diatribe that criticized,I remember who the politician wrote a diatribe that criticized,Both sequences are complete sentences.
0,15,FALSE,yes,rc_obj_island,Our friend guessed that we saw a picture which showed,Our friend guessed who we saw a picture which showed,Both sequences are complete sentences.
0,16,FALSE,yes,rc_obj_island,The mayor told me that the newspapers printed a photograph which shocked,The mayor told me who the newspapers printed a photograph which shocked,Both sequences are complete sentences.
0,17,FALSE,yes,rc_obj_island,My friend remembers that the monk penned a description which mocked,My friend remembers what the monk penned a description which mocked,Both sequences are complete sentences.
0,18,FALSE,yes,rc_obj_island,The newspaper said that I picked out the present that we gave,The newspaper said who I picked out the present that we gave,Both sequences are complete sentences.
0,19,FALSE,yes,rc_obj_island,Our neighbor said that she won the argument which concerned,Our neighbor said what she won the argument which concerned,Both sequences are complete sentences.
0,20,FALSE,yes,rc_obj_island,My friend told me that he wrote a proposal which he will deliver to,My friend told me who he wrote a proposal which he will deliver to,Both sequences are complete sentences.
0,21,FALSE,yes,rc_obj_island,She can not believe that we attended a conference which popularized,She can not believe what we attended a conference which popularized,Both sequences are complete sentences.
