,item,Correct,gap,island,C1,C2,Response
0,20,TRUE,yes,subj_noisland,My friend told me that suggested increasing employe benefits,My friend told me what suggested increasing employe benefits," ""My friend told me what suggested increasing employe benefits"""
0,21,TRUE,yes,subj_noisland,She can not believe that took place downtown,She can not believe what took place downtown," ""She can not believe what took place downtown"""
0,1,FALSE,no,that_subj_island,I know that an indication that signaled depression caused us to recommend therapy,I know what an indication that signaled depression caused us to recommend therapy," ""I know what an indication that signaled depression caused us to recommend therapy"""
0,2,TRUE,no,that_subj_island,I remember that the gift that we bought Mary cost a lot of money,I remember who the gift that we bought Mary cost a lot of money," ""I remember that the gift that we bought Mary cost a lot of money"""
0,3,TRUE,no,that_subj_island,The newspaper reported that the novel that provoked the famous author received favorable reviews,The newspaper reported who the novel that provoked the famous author received favorable reviews," ""The newspaper reported that the novel that provoked the famous author received favorable reviews"""
0,4,TRUE,no,that_subj_island,I know that the painting that depicted Monet fetched a high price at auction,I know who the painting that depicted Monet fetched a high price at auction," ""I know that the painting that depicted Monet fetched a high price at auction"""
0,5,TRUE,no,that_subj_island,You remember that the instructions that showed how to operate the submarine fell into the furnace,You remember what the instructions that showed how to operate the submarine fell into the furnace," ""You remember that the instructions that showed how to operate the submarine fell into the furnace"""
0,6,FALSE,no,that_subj_island,She told me that an allergy that is caused by peanuts causes him to avoid dining out,She told me what an allergy that is caused by peanuts causes him to avoid dining out," ""She told me what an allergy that is caused by peanuts causes him to avoid dining out"""
0,7,TRUE,no,that_subj_island,She knows that the delivery that shocked Sarah arrived around noon,She knows who the delivery that shocked Sarah arrived around noon," ""She knows that the delivery that shocked Sarah arrived around noon"""
0,8,TRUE,no,that_subj_island,We all remember that the package that Sarah described to Robert got lost in the mail,We all remember who the package that Sarah described to Robert got lost in the mail," ""We all remember that the package that Sarah described to Robert got lost in the mail"""
0,9,TRUE,no,that_subj_island,My friend reported that the symphony that was dedicated to Mozart moved my mother to tears,My friend reported who the symphony that was dedicated to Mozart moved my mother to tears," ""My friend reported that the symphony that was dedicated to Mozart moved my mother to tears yesterday night."""
0,11,FALSE,no,that_subj_island,She can guess that a forward that introduced the new manuscript claimed that Elvis is still alive,She can guess what a forward that introduced the new manuscript claimed that Elvis is still alive," ""She can guess what a forward that introduced the new manuscript claimed that Elvis is still alive"""
0,12,FALSE,no,that_subj_island,The newspaper reported that a mix that included oil and vinegar was used for the salad dressing,The newspaper reported what a mix that included oil and vinegar was used for the salad dressing," ""The newspaper reported what a mix that included oil and vinegar was used for the salad dressing"""
0,13,TRUE,no,that_subj_island,We recall that a critique that was aimed at the fossil fuel industry found support online,We recall what a critique that was aimed at the fossil fuel industry found support online," ""We recall what a critique that was aimed at the fossil fuel industry found support online"""
0,14,TRUE,no,that_subj_island,I remember that a diatribe that criticized the mayor was published in the local newspaper,I remember who a diatribe that criticized the mayor was published in the local newspaper," ""I remember that a diatribe that criticized the mayor was published in the local newspaper"""
0,15,TRUE,no,that_subj_island,Our friend guessed that a picture that showed the convict appeared in the newspaper,Our friend guessed who a picture that showed the convict appeared in the newspaper," ""Our friend guessed that a picture that showed the convict appeared in the newspaper"""
0,16,TRUE,no,that_subj_island,The mayor told me that a photograph that shocked the public was taken by the war correspondent,The mayor told me who a photograph that shocked the public was taken by the war correspondent," ""The mayor told me that a photograph that shocked the public was taken by the war correspondent"""
0,17,FALSE,no,that_subj_island,My friend remembers that a description that mocked abbey life was disliked by the bishop,My friend remembers what a description that mocked abbey life was disliked by the bishop," ""My friend remembers what a description that mocked abbey life was disliked by the bishop"""
0,18,TRUE,no,that_subj_island,The newspaper said that the present that we gave Simon was imported from Italy,The newspaper said who the present that we gave Simon was imported from Italy," ""The newspaper said that the present that we gave Simon was imported from Italy"""
0,19,FALSE,no,that_subj_island,Our neighbor said that the argument that concerned childcare tore their marriage apart,Our neighbor said what the argument that concerned childcare tore their marriage apart," ""Our neighbor said what the argument that concerned childcare tore their marriage apart"""
0,20,TRUE,no,that_subj_island,My friend told me that a proposal that he will deliver to the board suggested increasing employe benefits,My friend told me who a proposal that he will deliver to the board suggested increasing employe benefits," ""My friend told me that a proposal that he will deliver to the board suggested increasing employe benefits"""
0,21,FALSE,no,that_subj_island,She can not believe that a conference that popularized cell evolution took place downtown,She can not believe what a conference that popularized cell evolution took place downtown," ""She can not believe what a conference that popularized cell evolution took place downtown"""
0,1,NA,yes,that_subj_island,I know that an indication that signaled caused us to recommend therapy,I know what an indication that signaled caused us to recommend therapy," ""I know what an indication that signaled caused us to recommend therapy"""
0,2,NA,yes,that_subj_island,I remember that the gift that we bought cost a lot of money,I remember who the gift that we bought cost a lot of money," ""I remember that the gift that we bought cost a lot of money"""
0,3,NA,yes,that_subj_island,The newspaper reported that the novel that provoked received favorable reviews,The newspaper reported who the novel that provoked received favorable reviews," ""The newspaper reported that the novel that provoked received favorable reviews"""
0,4,NA,yes,that_subj_island,I know that the painting that depicted fetched a high price at auction,I know who the painting that depicted fetched a high price at auction," ""I know that the painting that depicted fetched a high price at auction"""
0,5,NA,yes,that_subj_island,You remember that the instructions that showed how to operate fell into the furnace,You remember what the instructions that showed how to operate fell into the furnace," ""You remember that the instructions that showed how to operate fell into the furnace"""
0,6,NA,yes,that_subj_island,She told me that an allergy that is caused by causes him to avoid dining out,She told me what an allergy that is caused by causes him to avoid dining out," ""She told me what an allergy that is caused by causes him to avoid dining out ever since he was young."""
0,7,NA,yes,that_subj_island,She knows that the delivery that shocked arrived around noon,She knows who the delivery that shocked arrived around noon," ""She knows that the delivery that shocked arrived around noon"""
0,8,NA,yes,that_subj_island,We all remember that the package that Sarah described to got lost in the mail,We all remember who the package that Sarah described to got lost in the mail," ""We all remember that the package that Sarah described to got lost in the mail"""
0,9,NA,yes,that_subj_island,My friend reported that the symphony that was dedicated to moved my mother to tears,My friend reported who the symphony that was dedicated to moved my mother to tears," ""My friend reported that the symphony that was dedicated to moved my mother to tears yesterday night."""
0,11,NA,yes,that_subj_island,She can guess that a forward that introduced claimed that Elvis is still alive,She can guess what a forward that introduced claimed that Elvis is still alive," ""She can guess what a forward that introduced claimed that Elvis is still alive"""
0,12,NA,yes,that_subj_island,The newspaper reported that a mix that included was used for the salad dressing,The newspaper reported what a mix that included was used for the salad dressing," ""The newspaper reported what a mix that included was used for the salad dressing"""
0,13,NA,yes,that_subj_island,We recall that a critique that was aimed at found support online,We recall what a critique that was aimed at found support online," ""We recall what a critique that was aimed at found support online"""
0,14,NA,yes,that_subj_island,I remember that a diatribe that criticized was published in the local newspaper,I remember who a diatribe that criticized was published in the local newspaper," ""I remember that a diatribe that criticized was published in the local newspaper yesterday night."""
0,15,NA,yes,that_subj_island,Our friend guessed that a picture that showed appeared in the newspaper,Our friend guessed who a picture that showed appeared in the newspaper," ""Our friend guessed that a picture that showed appeared in the newspaper yesterday afternoon."""
0,16,NA,yes,that_subj_island,The mayor told me that a photograph that shocked was taken by the war correspondent,The mayor told me who a photograph that shocked was taken by the war correspondent," ""The mayor told me that a photograph that shocked was taken by the war correspondent"""
0,17,NA,yes,that_subj_island,My friend remembers that a description that mocked was disliked by the bishop,My friend remembers what a description that mocked was disliked by the bishop," ""My friend remembers what a description that mocked was disliked by the bishop"""
0,18,NA,yes,that_subj_island,The newspaper said that the present that we gave was imported from Italy,The newspaper said who the present that we gave was imported from Italy," ""The newspaper said that the present that we gave was imported from Italy"""
0,19,NA,yes,that_subj_island,Our neighbor said that the argument that concerned tore their marriage apart,Our neighbor said what the argument that concerned tore their marriage apart," ""Our neighbor said what the argument that concerned tore their marriage apart"""
0,20,NA,yes,that_subj_island,My friend told me that a proposal that he will deliver to suggested increasing employe benefits,My friend told me who a proposal that he will deliver to suggested increasing employe benefits," ""My friend told me that a proposal that he will deliver to suggested increasing employe benefits"""
0,21,NA,yes,that_subj_island,She can not believe that a conference that popularized took place downtown,She can not believe what a conference that popularized took place downtown," ""She can not believe what a conference that popularized took place downtown"""
