,np_that,np_wh,pairID
63,A lot of boys remember that that guest who isn't hearing Kendra isn't hindering Walter.,A lot of boys remember who that guest who isn't hearing Kendra isn't hindering.,63
64,Joseph concealed that many doctors who shock that association appreciate a grocery store.,Joseph concealed what many doctors who shock that association appreciate.,64
65,Some hospital didn't realize that the girl who hadn't drawn a grocery store was listening to Lisa.,Some hospital didn't realize who the girl who hadn't drawn a grocery store was listening to.,65
66,That dancer shouldn't know that a lot of universities what had referenced Suzanne were spending those donations.,That dancer shouldn't know what a lot of universities what had referenced Suzanne were spending.,66
67,Claire hadn't found out that a senator who understands some adults hadn't harmed Kristen.,Claire hadn't found out who a senator who understands some adults hadn't harmed.,67
68,Melanie can't remember that most guys who are climbing down the slopes haven't investigated Leslie.,Melanie can't remember who most guys who are climbing down the slopes haven't investigated.,68
69,Elaine revealed that some guest who has researched most legislatures wouldn't run around that grocery store.,Elaine revealed what some guest who has researched most legislatures wouldn't run around.,69
70,William was discovering that most tutors who fix a cup hired Michelle.,William was discovering who most tutors who fix a cup hired.,70
71,Monica isn't investigating that every pedestrian who isn't hugging Angela was choosing Diana.,Monica isn't investigating who every pedestrian who isn't hugging Angela was choosing.,71
72,Chad wasn't concealing that the rice what distracts most senators bores Martha.,Chad wasn't concealing who the rice what distracts most senators bores.,72
73,Dentists haven't discovered that all piano teachers who arrive at Harvard University weren't disturbing Diane.,Dentists haven't discovered who all piano teachers who arrive at Harvard University weren't disturbing.,73
74,The Lutherans forget that the person who researched the commentary remembers Cheryl.,The Lutherans forget who the person who researched the commentary remembers.,74
75,Janice should learn that that tutor who draws Vanessa admired many ships.,Janice should learn what that tutor who draws Vanessa admired.,75
76,Phillip forgot that women who pass grocery stores researched the committee.,Phillip forgot what women who pass grocery stores researched.,76
77,Carmen was figuring out that the woman who throws glasses was astounding many actresses.,Carmen was figuring out who the woman who throws glasses was astounding.,77
78,Martin has known that a woman who wasn't visiting Sally does upset some waitress.,Martin has known who a woman who wasn't visiting Sally does upset.,78
79,A lot of electricians forget that the floors what bore Winston Churchill had overwhelmed Helen.,A lot of electricians forget who the floors what bore Winston Churchill had overwhelmed.,79
80,Connie should learn that these committees what upset many teenagers alarm Donna.,Connie should learn who these committees what upset many teenagers alarm.,80
81,Gina had investigated that the offspring who boycotted most closets weren't attacking Bruce.,Gina had investigated who the offspring who boycotted most closets weren't attacking.,81
82,Most hospitals do discover that handymen who talked to Tiffany walked through many rivers.,Most hospitals do discover what handymen who talked to Tiffany walked through.,82
83,Most boys reveal that some woman who sounds like a waiter is distracting Nicole.,Most boys reveal who some woman who sounds like a waiter is distracting.,83
84,All handymen investigate that all universities what hate Noah aren't impressing many students.,All handymen investigate who all universities what hate Noah aren't impressing.,84
85,Raymond discovered that the university what talks about Daniel wasn't helping those tutors.,Raymond discovered who the university what talks about Daniel wasn't helping.,85
86,Russell couldn't investigate that every means what hadn't bored Debra bores all girls.,Russell couldn't investigate who every means what hadn't bored Debra bores.,86
87,The hairdresser investigates that the actress who isn't running around Spain led these customers.,The hairdresser investigates who the actress who isn't running around Spain led.,87
88,Teenagers knew that these actresses who shouldn't bend this plane aren't embarrassing that tutor.,Teenagers knew who these actresses who shouldn't bend this plane aren't embarrassing.,88
89,The Lutherans haven't realized that many dancers who go to this cafe bend a lot of dishes.,The Lutherans haven't realized what many dancers who go to this cafe bend.,89
90,Those electricians were realizing that those waiters who were sinking those ships bored William.,Those electricians were realizing who those waiters who were sinking those ships bored.,90
91,Most waiters conceal that a man who hadn't stunned Janice doesn't distract Sonia.,Most waiters conceal who a man who hadn't stunned Janice doesn't distract.,91
92,Teresa realizes that every actress who cleans these public parks had investigated Dan.,Teresa realizes who every actress who cleans these public parks had investigated.,92
93,Some electrician had investigated that many organizations what loved Cindy won't talk to some child.,Some electrician had investigated who many organizations what loved Cindy won't talk to.,93
94,Marcus remembers that those guests who hadn't repaired this carriage haven't annoyed Diana.,Marcus remembers who those guests who hadn't repaired this carriage haven't annoyed.,94
95,Timothy was discovering that those associates who descend a ladder discover a painting.,Timothy was discovering what those associates who descend a ladder discover.,95
96,Many universities find out that that child who isn't arguing about Raymond questions that associate.,Many universities find out who that child who isn't arguing about Raymond questions.,96
97,A guest has figured out that this electrician who isn't concealing a woman had driven to these libraries.,A guest has figured out what this electrician who isn't concealing a woman had driven to.,97
98,Amelia investigated that all electricians who could discuss Gregory could tour this glacier.,Amelia investigated what all electricians who could discuss Gregory could tour.,98
99,Wayne wasn't figuring out that every organization what had hired Gerald could purchase every skateboard.,Wayne wasn't figuring out what every organization what had hired Gerald could purchase.,99
100,Gregory is realizing that some partners who had fled from the malls throw that vase.,Gregory is realizing what some partners who had fled from the malls throw.,100
101,Gerald should forget that the tutors who revealed Rebecca were curing Anne.,Gerald should forget who the tutors who revealed Rebecca were curing.,101
102,Alice learned that every child who returned to Noah won't skate around most high schools.,Alice learned what every child who returned to Noah won't skate around.,102
103,Connie figured out that most customers who aren't riding some bike liked Omar.,Connie figured out who most customers who aren't riding some bike liked.,103
104,Gary learned that that lady who gets some canoe has noticed every candle.,Gary learned what that lady who gets some canoe has noticed.,104
105,Brett did conceal that the computer what stuns Jane disturbed Wendy.,Brett did conceal who the computer what stuns Jane disturbed.,105
106,Theodore learned that all contractors who couldn't attack those teachers do annoy Laura.,Theodore learned who all contractors who couldn't attack those teachers do annoy.,106
107,Those museums discovered that some cucumbers what have worried Teresa stunned Alan.,Those museums discovered who some cucumbers what have worried Teresa stunned.,107
108,Some legislature remembered that some hairdresser who dislikes the public park hated the canoe.,Some legislature remembered what some hairdresser who dislikes the public park hated.,108
109,That contractor investigated that this piano teacher who hides some vase flees from April.,That contractor investigated who this piano teacher who hides some vase flees from.,109
110,Many doctors conceal that this senator who was leaving an actress draws many cups.,Many doctors conceal what this senator who was leaving an actress draws.,110
111,All oncologists learn that an eye what hurt Mitchell had helped some guest.,All oncologists learn who an eye what hurt Mitchell had helped.,111
112,That government will realize that a woman who is skating around some mountains didn't sing the tune.,That government will realize what a woman who is skating around some mountains didn't sing.,112
113,Elizabeth isn't revealing that a lot of doctors who haven't liked a lot of commentaries threw ships.,Elizabeth isn't revealing what a lot of doctors who haven't liked a lot of commentaries threw.,113
114,Omar learned that some tutors who sounded like Tanya explore all museums.,Omar learned what some tutors who sounded like Tanya explore.,114
115,Every senator had revealed that some man who has forgotten Amelia will discover music.,Every senator had revealed what some man who has forgotten Amelia will discover.,115
116,Every patient was discovering that all associates who bite Keith weren't bothering Theodore.,Every patient was discovering who all associates who bite Keith weren't bothering.,116
117,Carolyn isn't learning that all actors who shoot Carolyn observe Jeffrey.,Carolyn isn't learning who all actors who shoot Carolyn observe.,117
118,These waitresses have figured out that a lot of dentists who steal this dish care for most dancers.,These waitresses have figured out who a lot of dentists who steal this dish care for.,118
119,All teachers hadn't forgotten that those girls who liked a lawyer boycotted those companies.,All teachers hadn't forgotten what those girls who liked a lawyer boycotted.,119
120,Martha hadn't found out that this contractor who finds Craig hadn't found a closet.,Martha hadn't found out what this contractor who finds Craig hadn't found.,120
121,Most adults realize that the guest who hasn't concealed this lamp grew some tomato.,Most adults realize what the guest who hasn't concealed this lamp grew.,121
122,Scott investigated that some students who hadn't talked to Theodore have lost every carriage.,Scott investigated what some students who hadn't talked to Theodore have lost.,122
123,Liam isn't investigating that guests who haven't held Sara distract some student.,Liam isn't investigating who guests who haven't held Sara distract.,123
124,Melanie found out that every projector what won't upset Alan hasn't confused every library.,Melanie found out what every projector what won't upset Alan hasn't confused.,124
125,Wayne wasn't forgetting that most teeth what look like every drawing underwhelm many legislatures.,Wayne wasn't forgetting what most teeth what look like every drawing underwhelm.,125
126,A student hasn't investigated that a lot of tutors who light these lamps were holding a lot of partners.,A student hasn't investigated who a lot of tutors who light these lamps were holding.,126
127,Contractors are figuring out that this eye what underwhelmed Jennifer bored those electricians.,Contractors are figuring out who this eye what underwhelmed Jennifer bored.,127
128,Every lawyer remembers that many fungi what embarrassed many teenagers wouldn't worry Noah.,Every lawyer remembers who many fungi what embarrassed many teenagers wouldn't worry.,128
129,Lawrence knows that pedestrians who aren't watching Andrew are boycotting the bank.,Lawrence knows what pedestrians who aren't watching Andrew are boycotting.,129
130,Monica wouldn't investigate that every sketch what looked like Florence hurt Paula.,Monica wouldn't investigate who every sketch what looked like Florence hurt.,130
131,Anne doesn't know that some lawyers who forgive Melissa see Paula.,Anne doesn't know who some lawyers who forgive Melissa see.,131
132,Laura was finding out that some actresses who forgot Sabrina should scare doctors.,Laura was finding out who some actresses who forgot Sabrina should scare.,132
133,Donna figured out that most students who disagree with Donald are researching some art gallery.,Donna figured out what most students who disagree with Donald are researching.,133
134,This hospital learned that the French teachers who did question Kirsten had torn all shirts.,This hospital learned what the French teachers who did question Kirsten had torn.,134
135,Jason might investigate that many theses what describe Kendra confuse this piano teacher.,Jason might investigate who many theses what describe Kendra confuse.,135
136,Robert has figured out that a coat what impresses some university bores the Impressionists.,Robert has figured out who a coat what impresses some university bores.,136
137,A lot of senators investigate that these guys who were lifting some bread haven't skated around most banks.,A lot of senators investigate what these guys who were lifting some bread haven't skated around.,137
138,Some school isn't learning that that partner who spends some check distracts Laura.,Some school isn't learning who that partner who spends some check distracts.,138
139,Tamara learned that all children who hadn't fled from all lawyers scare those waitresses.,Tamara learned who all children who hadn't fled from all lawyers scare.,139
140,Jessica was concealing that many children who shoot many dentists sank the ship.,Jessica was concealing what many children who shoot many dentists sank.,140
141,Bill hasn't realized that some guy who took this rug hadn't sold most cakes.,Bill hasn't realized what some guy who took this rug hadn't sold.,141
142,The guy hasn't remembered that the electrician who will clean that mall hasn't liked a lot of tutors.,The guy hasn't remembered who the electrician who will clean that mall hasn't liked.,142
143,Rose forgets that a lot of oncologists who walked through a lot of glaciers destroyed most plates.,Rose forgets what a lot of oncologists who walked through a lot of glaciers destroyed.,143
144,Timothy discovers that every senator who wasn't touring every river respected Carol.,Timothy discovers who every senator who wasn't touring every river respected.,144
145,Stephanie knew that every French teacher who has sunk every canoe had grown some spinach.,Stephanie knew what every French teacher who has sunk every canoe had grown.,145
146,James wouldn't remember that that lawyer who arrives at every movie theater insulted Angela.,James wouldn't remember who that lawyer who arrives at every movie theater insulted.,146
147,Libraries discover that this foot what astounds those lawyers was harming Elizabeth.,Libraries discover who this foot what astounds those lawyers was harming.,147
148,Travis investigated that most handymen who understand Rodney hadn't walked through some glaciers.,Travis investigated what most handymen who understand Rodney hadn't walked through.,148
149,Danielle isn't finding out that some dentists who sell that raft steal every fork.,Danielle isn't finding out what some dentists who sell that raft steal.,149
150,Most guys hadn't learned that dishes what underwhelm Randolf shocked Barbara.,Most guys hadn't learned who dishes what underwhelm Randolf shocked.,150
151,The contractor figured out that some electricians who build many movie theaters exited rivers.,The contractor figured out what some electricians who build many movie theaters exited.,151
152,A lot of teachers investigate that all waiters who weren't attacking Sonia weren't touring some schools.,A lot of teachers investigate what all waiters who weren't attacking Sonia weren't touring.,152
153,Companies had found out that a lot of lamps what can't aid Liam stunned Keith.,Companies had found out who a lot of lamps what can't aid Liam stunned.,153
154,Michael hadn't found out that the waitress who healed Teresa couldn't discuss Katherine.,Michael hadn't found out who the waitress who healed Teresa couldn't discuss.,154
155,Julia figures out that these associates who will reveal Winston Churchill haven't gone to that movie theater.,Julia figures out what these associates who will reveal Winston Churchill haven't gone to.,155
156,These students find out that the waiter who climbs down those mountains had driven some bicycles.,These students find out what the waiter who climbs down those mountains had driven.,156
157,A lot of piano teachers were learning that that actor who destroys the couches wouldn't cure most dentists.,A lot of piano teachers were learning who that actor who destroys the couches wouldn't cure.,157
158,Companies haven't figured out that some waitress who leads Renee approached Randolf.,Companies haven't figured out who some waitress who leads Renee approached.,158
159,Judy knew that every French teacher who wore some jackets does approach Martha.,Judy knew who every French teacher who wore some jackets does approach.,159
160,Cheryl hadn't revealed that the guy who couldn't clean some glaciers was hugging this waitress.,Cheryl hadn't revealed who the guy who couldn't clean some glaciers was hugging.,160
161,This teenager does learn that most podiatrists who catch some teenager shoot Ronald.,This teenager does learn who most podiatrists who catch some teenager shoot.,161
162,April isn't realizing that an actress who won't see Stephanie strikes Alexander.,April isn't realizing who an actress who won't see Stephanie strikes.,162
163,Florence hasn't realized that the teenagers who would buy some bread had bought this public park.,Florence hasn't realized what the teenagers who would buy some bread had bought.,163
164,Bethany remembers that some person who has disliked Mary can't discover carriages.,Bethany remembers what some person who has disliked Mary can't discover.,164
165,Julia wasn't realizing that that girl who cared for Walter did dislike every car.,Julia wasn't realizing what that girl who cared for Walter did dislike.,165
166,Kirsten might figure out that a lot of guys who kiss Paul have the blouses.,Kirsten might figure out what a lot of guys who kiss Paul have.,166
167,A lot of associates weren't discovering that the people who have worn all coats upset Naomi.,A lot of associates weren't discovering who the people who have worn all coats upset.,167
168,The Clintons realize that a driver who won't take the rice broke some trucks.,The Clintons realize what a driver who won't take the rice broke.,168
169,A senator conceals that these ladies who were researching art wouldn't remember Patricia.,A senator conceals who these ladies who were researching art wouldn't remember.,169
170,Stacy isn't forgetting that that pedestrian who was driving to the cafes wouldn't repair a lot of cars.,Stacy isn't forgetting what that pedestrian who was driving to the cafes wouldn't repair.,170
171,Every lawyer investigates that every child who climbed down every ladder hasn't forgotten Amanda.,Every lawyer investigates who every child who climbed down every ladder hasn't forgotten.,171
172,Every patient remembers that many waiters who hadn't forgiven Monica have argued about that lady.,Every patient remembers who many waiters who hadn't forgiven Monica have argued about.,172
173,Allison isn't realizing that this hairdresser who hasn't loved every school has repaired many trucks.,Allison isn't realizing what this hairdresser who hasn't loved every school has repaired.,173
174,The Lutherans find out that these guests who complained about some French teacher tore every dress.,The Lutherans find out what these guests who complained about some French teacher tore.,174
175,Susan wasn't finding out that some alumnus who hadn't kept this floor hugs Sharon.,Susan wasn't finding out who some alumnus who hadn't kept this floor hugs.,175
176,Most senators reveal that every man who boycotts some company caught Tamara.,Most senators reveal who every man who boycotts some company caught.,176
177,Cynthia wasn't figuring out that some dentist who didn't climb up this slope wasn't riding a lot of carriages.,Cynthia wasn't figuring out what some dentist who didn't climb up this slope wasn't riding.,177
178,Elaine would figure out that some French teachers who hindered this school could like Susan.,Elaine would figure out who some French teachers who hindered this school could like.,178
179,Theodore is revealing that these partners who can't argue about those guests haven't boasted about a lady.,Theodore is revealing who these partners who can't argue about those guests haven't boasted about.,179
180,Lisa does remember that some teachers who hadn't lost Benjamin investigated most girls.,Lisa does remember who some teachers who hadn't lost Benjamin investigated.,180
181,Brian knows that this associate who thought about every bike hates Bruce.,Brian knows who this associate who thought about every bike hates.,181
182,Janet has revealed that the guy who meets Catherine hadn't thought about Ann.,Janet has revealed who the guy who meets Catherine hadn't thought about.,182
183,A legislature isn't finding out that a girl who can't criticize Jacqueline wasn't leading Samuel.,A legislature isn't finding out who a girl who can't criticize Jacqueline wasn't leading.,183
184,Joel might find out that every pedestrian who would bike to some school has lost most banks.,Joel might find out what every pedestrian who would bike to some school has lost.,184
185,Jodi figured out that those art galleries what had underwhelmed Dennis are boring Christopher.,Jodi figured out who those art galleries what had underwhelmed Dennis are boring.,185
186,Tutors know that some guy who could run around these lakes wasn't insulting the Lutherans.,Tutors know who some guy who could run around these lakes wasn't insulting.,186
187,Many museums can't know that many snakes what should climb down some hills have distracted these committees.,Many museums can't know what many snakes what should climb down some hills have distracted.,187
188,Dennis doesn't conceal that these tutors who caught Chad sank ships.,Dennis doesn't conceal what these tutors who caught Chad sank.,188
189,Tamara was remembering that a lot of fish what shouldn't break most vases shock that teacher.,Tamara was remembering who a lot of fish what shouldn't break most vases shock.,189
190,A lot of podiatrists can't figure out that some teacher who talked to Melanie was curing every senator.,A lot of podiatrists can't figure out who some teacher who talked to Melanie was curing.,190
191,Martin is remembering that the ladies who weren't drinking wine climb up many stairs.,Martin is remembering what the ladies who weren't drinking wine climb up.,191
192,Carla can't forget that those electricians who hadn't worked with Ronald struck Robert.,Carla can't forget who those electricians who hadn't worked with Ronald struck.,192
193,Charles isn't finding out that those associations what haven't appreciated these people hadn't harmed Jesus.,Charles isn't finding out who those associations what haven't appreciated these people hadn't harmed.,193
194,Scott had investigated that a commentary what stunned Stephanie sounded like Monica.,Scott had investigated who a commentary what stunned Stephanie sounded like.,194
195,Maria shouldn't remember that actors who had sold the mountains climbed down many stairs.,Maria shouldn't remember what actors who had sold the mountains climbed down.,195
196,Naomi did conceal that an actress who chooses the beers watches this man.,Naomi did conceal who an actress who chooses the beers watches.,196
197,These associates find out that many hairdressers who won't approach Daniel ascend the mountain.,These associates find out what many hairdressers who won't approach Daniel ascend.,197
198,Diana remembers that a driver who isn't boycotting a lot of governments aids Sharon.,Diana remembers who a driver who isn't boycotting a lot of governments aids.,198
199,Meredith realizes that a lot of senators who cared for Benjamin harmed Holly.,Meredith realizes who a lot of senators who cared for Benjamin harmed.,199
200,Scott forgot that a lot of girls who drop by the art galleries couldn't leave Jacqueline.,Scott forgot who a lot of girls who drop by the art galleries couldn't leave.,200
201,Christina was figuring out that dresses what aren't harming this podiatrist could worry Brenda.,Christina was figuring out who dresses what aren't harming this podiatrist could worry.,201
202,Companies figured out that the man who is astounding those hairdressers does teach Nicole.,Companies figured out who the man who is astounding those hairdressers does teach.,202
203,Carla hadn't revealed that some boy who will praise this book goes to some hospitals.,Carla hadn't revealed what some boy who will praise this book goes to.,203
204,Carla learns that some alumnus who eats this pasta does examine those newspaper articles.,Carla learns what some alumnus who eats this pasta does examine.,204
205,Curtis does figure out that all handymen who had gotten many vases bred most rabbits.,Curtis does figure out what all handymen who had gotten many vases bred.,205
206,A lot of teenagers forget that the child who hates Mitchell astounded Ronald.,A lot of teenagers forget who the child who hates Mitchell astounded.,206
207,That school didn't discover that the bicycle what is impressing Richard hindered Dawn.,That school didn't discover who the bicycle what is impressing Richard hindered.,207
208,Most teenagers had forgotten that a lot of hairdressers who didn't admire Andrew haven't kissed some senators.,Most teenagers had forgotten who a lot of hairdressers who didn't admire Andrew haven't kissed.,208
209,This senator investigated that some university what can aid Christopher has boasted about Jeffrey.,This senator investigated who some university what can aid Christopher has boasted about.,209
210,Actresses know that this synopsis what can't astound Rose disagrees with Adam.,Actresses know who this synopsis what can't astound Rose disagrees with.,210
211,Naomi hasn't found out that a lot of guys who were forgiving Omar have examined those books.,Naomi hasn't found out what a lot of guys who were forgiving Omar have examined.,211
212,Benjamin found out that that hairdresser who is teaching Laura has thought about that public park.,Benjamin found out what that hairdresser who is teaching Laura has thought about.,212
213,Banks figure out that a man who doesn't tour that cafe hasn't run around this restaurant.,Banks figure out what a man who doesn't tour that cafe hasn't run around.,213
214,Robert found out that all boys who drew Claire escaped from the restaurant.,Robert found out what all boys who drew Claire escaped from.,214
215,Brett knew that those hospitals what bored Bethany discussed the partners.,Brett knew who those hospitals what bored Bethany discussed.,215
216,These teachers discover that some sketches what shouldn't confuse Florence stun Margaret.,These teachers discover who some sketches what shouldn't confuse Florence stun.,216
217,Catherine hadn't concealed that this waiter who was walking through all hills should drive bikes.,Catherine hadn't concealed what this waiter who was walking through all hills should drive.,217
218,Gary discovers that the woman who wasn't listening to Nina approached Dan.,Gary discovers who the woman who wasn't listening to Nina approached.,218
219,The Impressionists haven't revealed that that oasis what doesn't bore some girl hasn't alarmed a student.,The Impressionists haven't revealed who that oasis what doesn't bore some girl hasn't alarmed.,219
220,Kevin might forget that these waiters who wouldn't bite Adam didn't drink the coffee.,Kevin might forget what these waiters who wouldn't bite Adam didn't drink.,220
221,A lot of associations reveal that every woman who was forgiving Laura arrived at these museums.,A lot of associations reveal what every woman who was forgiving Laura arrived at.,221
222,All teachers couldn't forget that this child who isn't holding that guest isn't investigating Winston Churchill.,All teachers couldn't forget who this child who isn't holding that guest isn't investigating.,222
223,Derek had figured out that some drivers who alarmed Michael won't describe that senator.,Derek had figured out who some drivers who alarmed Michael won't describe.,223
224,Rodney isn't investigating that most waiters who listen to Kendra will drink tea.,Rodney isn't investigating what most waiters who listen to Kendra will drink.,224
225,Diana hadn't concealed that some schools what stun Galileo have bored Monica.,Diana hadn't concealed who some schools what stun Galileo have bored.,225
226,Meredith figures out that this adult who understands Cheryl tore all socks.,Meredith figures out what this adult who understands Cheryl tore.,226
