,obj_that,obj_wh,pp_wh,subj_wh,pairID
14,Some adult can't reveal that the steak embarrasses the hospital for Naomi.,Some adult can't reveal what the steak embarrasses for Naomi.,Some adult can't reveal what the steak embarrasses the hospital for.,Some adult can't reveal what embarrasses the hospital.,14
15,Deanna remembers that all French teachers could purchase the window for Samantha.,Deanna remembers what all French teachers could purchase for Samantha.,Deanna remembers what all French teachers could purchase the window for.,Deanna remembers what could purchase the window.,15
16,A lot of partners are learning that some girl appreciates Frank for the Clintons.,A lot of partners are learning who some girl appreciates for the Clintons.,A lot of partners are learning who some girl appreciates Frank for.,A lot of partners are learning who appreciates Frank.,16
17,Kevin can't forget that a customer isn't healing most adults with Laura.,Kevin can't forget who a customer isn't healing with Laura.,Kevin can't forget who a customer isn't healing most adults with.,Kevin can't forget who isn't healing most adults.,17
18,Debra knew that every boy listens to Andrew with some waiters.,Debra knew who every boy listens to with some waiters.,Debra knew who every boy listens to Andrew with.,Debra knew who listens to Andrew.,18
19,Some guests reveal that all dentists expose Kenneth with Bruce.,Some guests reveal who all dentists expose with Bruce.,Some guests reveal who all dentists expose Kenneth with.,Some guests reveal who expose Kenneth.,19
20,These governments forget that a committee underwhelms Natalie with Jennifer.,These governments forget who a committee underwhelms with Jennifer.,These governments forget who a committee underwhelms Natalie with.,These governments forget who underwhelms Natalie.,20
21,Gary can learn that that associate swept these tiles for Marie.,Gary can learn what that associate swept for Marie.,Gary can learn what that associate swept these tiles for.,Gary can learn what swept these tiles.,21
22,Laura remembers that all oncologists liked every screen for Mitchell.,Laura remembers what all oncologists liked for Mitchell.,Laura remembers what all oncologists liked every screen for.,Laura remembers what liked every screen.,22
23,Diana has learned that a driver can shock Andrea with Amanda.,Diana has learned who a driver can shock with Amanda.,Diana has learned who a driver can shock Andrea with.,Diana has learned who can shock Andrea.,23
24,Catherine didn't forget that the contractors get all forks with Patricia.,Catherine didn't forget what the contractors get with Patricia.,Catherine didn't forget what the contractors get all forks with.,Catherine didn't forget what get all forks.,24
25,Galileo is discovering that a lot of birds are scaring Karen for Holly.,Galileo is discovering who a lot of birds are scaring for Holly.,Galileo is discovering who a lot of birds are scaring Karen for.,Galileo is discovering who are scaring Karen.,25
26,Eric knew that some library hasn't bored Mary for most boys.,Eric knew who some library hasn't bored for most boys.,Eric knew who some library hasn't bored Mary for.,Eric knew who hasn't bored Mary.,26
27,Anna hasn't known that a waiter lights all lamps with Melissa.,Anna hasn't known what a waiter lights with Melissa.,Anna hasn't known what a waiter lights all lamps with.,Anna hasn't known what lights all lamps.,27
28,Larry wasn't realizing that every dentist can kiss Raymond with Ellen.,Larry wasn't realizing who every dentist can kiss with Ellen.,Larry wasn't realizing who every dentist can kiss Raymond with.,Larry wasn't realizing who can kiss Raymond.,28
29,Cynthia hadn't concealed that the person cleaned a bike with Sabrina.,Cynthia hadn't concealed what the person cleaned with Sabrina.,Cynthia hadn't concealed what the person cleaned a bike with.,Cynthia hadn't concealed what cleaned a bike.,29
30,Carlos hasn't revealed that some rugs scare Stacy for Michelle.,Carlos hasn't revealed who some rugs scare for Michelle.,Carlos hasn't revealed who some rugs scare Stacy for.,Carlos hasn't revealed who scare Stacy.,30
31,Jason has figured out that people revealed that skirt with all actresses.,Jason has figured out what people revealed with all actresses.,Jason has figured out what people revealed that skirt with.,Jason has figured out what revealed that skirt.,31
32,The waitress hadn't revealed that some children lost Bill with some doctor.,The waitress hadn't revealed who some children lost with some doctor.,The waitress hadn't revealed who some children lost Bill with.,The waitress hadn't revealed who lost Bill.,32
33,Roger learns that an associate met Allison for that lady.,Roger learns who an associate met for that lady.,Roger learns who an associate met Allison for.,Roger learns who met Allison.,33
34,These tutors reveal that this company wasn't talking to Guy for many customers.,These tutors reveal who this company wasn't talking to for many customers.,These tutors reveal who this company wasn't talking to Guy for.,These tutors reveal who wasn't talking to Guy.,34
35,Theresa had concealed that women could drop by a lot of rivers for Veronica.,Theresa had concealed what women could drop by for Veronica.,Theresa had concealed what women could drop by a lot of rivers for.,Theresa had concealed what could drop by a lot of rivers.,35
36,Most pedestrians reveal that those lights upset Tiffany with a lot of children.,Most pedestrians reveal who those lights upset with a lot of children.,Most pedestrians reveal who those lights upset Tiffany with.,Most pedestrians reveal who upset Tiffany.,36
37,Stacy does conceal that this person does repair most forks with Chad.,Stacy does conceal what this person does repair with Chad.,Stacy does conceal what this person does repair most forks with.,Stacy does conceal what does repair most forks.,37
38,Dan investigates that the organization does listen to Colleen for this actor.,Dan investigates who the organization does listen to for this actor.,Dan investigates who the organization does listen to Colleen for.,Dan investigates who does listen to Colleen.,38
39,A lot of governments conceal that all handymen weren't teaching this senator for those customers.,A lot of governments conceal who all handymen weren't teaching for those customers.,A lot of governments conceal who all handymen weren't teaching this senator for.,A lot of governments conceal who weren't teaching this senator.,39
40,Amy forgets that the waiter can wear that shirt for Emily.,Amy forgets what the waiter can wear for Emily.,Amy forgets what the waiter can wear that shirt for.,Amy forgets what can wear that shirt.,40
41,Those doctors find out that every boy returns to Carlos with Daniel.,Those doctors find out who every boy returns to with Daniel.,Those doctors find out who every boy returns to Carlos with.,Those doctors find out who returns to Carlos.,41
42,The contractor hasn't discovered that a lot of French teachers haven't passed every college campus for Adam.,The contractor hasn't discovered what a lot of French teachers haven't passed for Adam.,The contractor hasn't discovered what a lot of French teachers haven't passed every college campus for.,The contractor hasn't discovered what haven't passed every college campus.,42
43,Kristen hadn't figured out that the lamp stuns a guy with some doctors.,Kristen hadn't figured out who the lamp stuns with some doctors.,Kristen hadn't figured out who the lamp stuns a guy with.,Kristen hadn't figured out who stuns a guy.,43
44,Those schools couldn't conceal that every offspring hasn't praised Jeffrey with Pamela.,Those schools couldn't conceal who every offspring hasn't praised with Pamela.,Those schools couldn't conceal who every offspring hasn't praised Jeffrey with.,Those schools couldn't conceal who hasn't praised Jeffrey.,44
45,The Impressionists aren't realizing that all ladies were ascending some stairs with Tracy.,The Impressionists aren't realizing what all ladies were ascending with Tracy.,The Impressionists aren't realizing what all ladies were ascending some stairs with.,The Impressionists aren't realizing what were ascending some stairs.,45
46,Russell had found out that that tutor had criticized every patient for Elaine.,Russell had found out who that tutor had criticized for Elaine.,Russell had found out who that tutor had criticized every patient for.,Russell had found out who had criticized every patient.,46
47,Adam couldn't realize that these handymen get a truck with Derek.,Adam couldn't realize what these handymen get with Derek.,Adam couldn't realize what these handymen get a truck with.,Adam couldn't realize what get a truck.,47
48,All waitresses discover that those oncologists sink a lot of rafts for Cynthia.,All waitresses discover what those oncologists sink for Cynthia.,All waitresses discover what those oncologists sink a lot of rafts for.,All waitresses discover what sink a lot of rafts.,48
49,The ladies are investigating that every senator is impressing Walter for the Impressionists.,The ladies are investigating who every senator is impressing for the Impressionists.,The ladies are investigating who every senator is impressing Walter for.,The ladies are investigating who is impressing Walter.,49
50,Adam knew that piano teachers are bringing the turtles with Maria.,Adam knew what piano teachers are bringing with Maria.,Adam knew what piano teachers are bringing the turtles with.,Adam knew what are bringing the turtles.,50
51,Jerry wasn't discovering that many people liked these blouses for Andrea.,Jerry wasn't discovering what many people liked for Andrea.,Jerry wasn't discovering what many people liked these blouses for.,Jerry wasn't discovering what liked these blouses.,51
52,These contractors had learned that most guests should remember a senator for Liam.,These contractors had learned who most guests should remember for Liam.,These contractors had learned who most guests should remember a senator for.,These contractors had learned who should remember a senator.,52
53,Eric figures out that many electricians purchased every fork with Suzanne.,Eric figures out what many electricians purchased with Suzanne.,Eric figures out what many electricians purchased every fork with.,Eric figures out what purchased every fork.,53
54,Dawn learned that those ladies didn't investigate these legislatures with Theresa.,Dawn learned what those ladies didn't investigate with Theresa.,Dawn learned what those ladies didn't investigate these legislatures with.,Dawn learned what didn't investigate these legislatures.,54
55,Theodore revealed that the eye looks like that painting for Aaron.,Theodore revealed what the eye looks like for Aaron.,Theodore revealed what the eye looks like that painting for.,Theodore revealed what looks like that painting.,55
56,Frank was discovering that this adult is underwhelming Sheila with Maria.,Frank was discovering who this adult is underwhelming with Maria.,Frank was discovering who this adult is underwhelming Sheila with.,Frank was discovering who is underwhelming Sheila.,56
57,Brett does forget that some senators sweep that floor for this actress.,Brett does forget what some senators sweep for this actress.,Brett does forget what some senators sweep that floor for.,Brett does forget what sweep that floor.,57
58,Alan reveals that all guests climb up stairs with Jesus.,Alan reveals what all guests climb up with Jesus.,Alan reveals what all guests climb up stairs with.,Alan reveals what climb up stairs.,58
59,Caroline would forget that the pedestrian shouldn't admire Omar with a boy.,Caroline would forget who the pedestrian shouldn't admire with a boy.,Caroline would forget who the pedestrian shouldn't admire Omar with.,Caroline would forget who shouldn't admire Omar.,59
60,Dennis finds out that this student isn't healing Erin for Raymond.,Dennis finds out who this student isn't healing for Raymond.,Dennis finds out who this student isn't healing Erin for.,Dennis finds out who isn't healing Erin.,60
61,Theodore knows that the doctors were bringing every carriage for Wayne.,Theodore knows what the doctors were bringing for Wayne.,Theodore knows what the doctors were bringing every carriage for.,Theodore knows what were bringing every carriage.,61
62,Every podiatrist isn't remembering that most people hired Melanie for Thomas.,Every podiatrist isn't remembering who most people hired for Thomas.,Every podiatrist isn't remembering who most people hired Melanie for.,Every podiatrist isn't remembering who hired Melanie.,62
63,The organizations discover that the beers overwhelm Kimberley with some guest.,The organizations discover who the beers overwhelm with some guest.,The organizations discover who the beers overwhelm Kimberley with.,The organizations discover who overwhelm Kimberley.,63
64,All doctors find out that these tutors light most lights for Debra.,All doctors find out what these tutors light for Debra.,All doctors find out what these tutors light most lights for.,All doctors find out what light most lights.,64
65,Every electrician figured out that a lot of high schools weren't scaring some universities for most boys.,Every electrician figured out what a lot of high schools weren't scaring for most boys.,Every electrician figured out what a lot of high schools weren't scaring some universities for.,Every electrician figured out what weren't scaring some universities.,65
66,This company figures out that many senators aren't exposing many glasses with Carol.,This company figures out what many senators aren't exposing with Carol.,This company figures out what many senators aren't exposing many glasses with.,This company figures out what aren't exposing many glasses.,66
67,Donna can't forget that those alumni lit that spotlight with Vanessa.,Donna can't forget what those alumni lit with Vanessa.,Donna can't forget what those alumni lit that spotlight with.,Donna can't forget what lit that spotlight.,67
68,Allison can't conceal that some waiters write that play with most tutors.,Allison can't conceal what some waiters write with most tutors.,Allison can't conceal what some waiters write that play with.,Allison can't conceal what write that play.,68
69,Rose wasn't figuring out that this teacher hadn't praised James with Scott.,Rose wasn't figuring out who this teacher hadn't praised with Scott.,Rose wasn't figuring out who this teacher hadn't praised James with.,Rose wasn't figuring out who hadn't praised James.,69
70,Karen remembers that this pedestrian does describe Kevin for Galileo.,Karen remembers who this pedestrian does describe for Galileo.,Karen remembers who this pedestrian does describe Kevin for.,Karen remembers who does describe Kevin.,70
71,These French teachers remember that that library will purchase some print for Anne.,These French teachers remember what that library will purchase for Anne.,These French teachers remember what that library will purchase some print for.,These French teachers remember what will purchase some print.,71
72,Martha had known that the child bites Theresa for this piano teacher.,Martha had known who the child bites for this piano teacher.,Martha had known who the child bites Theresa for.,Martha had known who bites Theresa.,72
73,Some waitress realizes that a lot of actresses attacked Leslie for Dawn.,Some waitress realizes who a lot of actresses attacked for Dawn.,Some waitress realizes who a lot of actresses attacked Leslie for.,Some waitress realizes who attacked Leslie.,73
74,Craig hasn't forgotten that children didn't fix plates with a lot of drivers.,Craig hasn't forgotten what children didn't fix with a lot of drivers.,Craig hasn't forgotten what children didn't fix plates with.,Craig hasn't forgotten what didn't fix plates.,74
75,A senator would remember that an adult sweeps these tiles with Naomi.,A senator would remember what an adult sweeps with Naomi.,A senator would remember what an adult sweeps these tiles with.,A senator would remember what sweeps these tiles.,75
76,Anna had investigated that a lot of patients have passed these college campuses for the Clintons.,Anna had investigated what a lot of patients have passed for the Clintons.,Anna had investigated what a lot of patients have passed these college campuses for.,Anna had investigated what have passed these college campuses.,76
77,Susan hasn't remembered that that pedestrian can't ascend some steps with Sabrina.,Susan hasn't remembered what that pedestrian can't ascend with Sabrina.,Susan hasn't remembered what that pedestrian can't ascend some steps with.,Susan hasn't remembered what can't ascend some steps.,77
78,A teenager had known that that partner arrives at a college campus with Bruce.,A teenager had known what that partner arrives at with Bruce.,A teenager had known what that partner arrives at a college campus with.,A teenager had known what arrives at a college campus.,78
79,These dancers conceal that those doctors confuse Lori with Kristin.,These dancers conceal who those doctors confuse with Kristin.,These dancers conceal who those doctors confuse Lori with.,These dancers conceal who confuse Lori.,79
80,A podiatrist hadn't revealed that a driver drives to these art galleries with Caroline.,A podiatrist hadn't revealed what a driver drives to with Caroline.,A podiatrist hadn't revealed what a driver drives to these art galleries with.,A podiatrist hadn't revealed what drives to these art galleries.,80
81,Some organization hadn't figured out that all prints would look like every guest for Monica.,Some organization hadn't figured out who all prints would look like for Monica.,Some organization hadn't figured out who all prints would look like every guest for.,Some organization hadn't figured out who would look like every guest.,81
82,Sonia revealed that that customer can't climb up this mountain with these handymen.,Sonia revealed what that customer can't climb up with these handymen.,Sonia revealed what that customer can't climb up this mountain with.,Sonia revealed what can't climb up this mountain.,82
83,These legislatures will find out that screens disturb a patient with Naomi.,These legislatures will find out who screens disturb with Naomi.,These legislatures will find out who screens disturb a patient with.,These legislatures will find out who disturb a patient.,83
84,The legislatures know that the partner sounds like Claire with Tamara.,The legislatures know who the partner sounds like with Tamara.,The legislatures know who the partner sounds like Claire with.,The legislatures know who sounds like Claire.,84
85,David wasn't figuring out that a girl was going to some restaurants for every woman.,David wasn't figuring out what a girl was going to for every woman.,David wasn't figuring out what a girl was going to some restaurants for.,David wasn't figuring out what was going to some restaurants.,85
86,Emily should figure out that alumni get many couches with every hairdresser.,Emily should figure out what alumni get with every hairdresser.,Emily should figure out what alumni get many couches with.,Emily should figure out what get many couches.,86
87,Most women haven't forgotten that some schools weren't arguing about this play with Amy.,Most women haven't forgotten what some schools weren't arguing about with Amy.,Most women haven't forgotten what some schools weren't arguing about this play with.,Most women haven't forgotten what weren't arguing about this play.,87
88,Lawrence has investigated that most snakes descend many ladders for most senators.,Lawrence has investigated what most snakes descend for most senators.,Lawrence has investigated what most snakes descend many ladders for.,Lawrence has investigated what descend many ladders.,88
89,Christina knew that many women could run around some rivers for an actor.,Christina knew what many women could run around for an actor.,Christina knew what many women could run around some rivers for.,Christina knew what could run around some rivers.,89
90,A boy was revealing that those hairdressers shoot Deanna for adults.,A boy was revealing who those hairdressers shoot for adults.,A boy was revealing who those hairdressers shoot Deanna for.,A boy was revealing who shoot Deanna.,90
91,Kirsten found out that a shoe astounded this dentist for Grace.,Kirsten found out who a shoe astounded for Grace.,Kirsten found out who a shoe astounded this dentist for.,Kirsten found out who astounded this dentist.,91
92,Jason can forget that that crisis confuses Adam with Janet.,Jason can forget who that crisis confuses with Janet.,Jason can forget who that crisis confuses Adam with.,Jason can forget who confuses Adam.,92
93,Maria should realize that many synopses were discussing Curtis for Claire.,Maria should realize who many synopses were discussing for Claire.,Maria should realize who many synopses were discussing Curtis for.,Maria should realize who were discussing Curtis.,93
94,Naomi didn't learn that the rabbit did upset Ann for Susan.,Naomi didn't learn who the rabbit did upset for Susan.,Naomi didn't learn who the rabbit did upset Ann for.,Naomi didn't learn who did upset Ann.,94
95,These adults reveal that every person is writing those documentaries with these contractors.,These adults reveal what every person is writing with these contractors.,These adults reveal what every person is writing those documentaries with.,These adults reveal what is writing those documentaries.,95
96,Bethany had realized that a dancer observed Teresa for Christine.,Bethany had realized who a dancer observed for Christine.,Bethany had realized who a dancer observed Teresa for.,Bethany had realized who observed Teresa.,96
97,Stephen was realizing that men had repaired the dish with Cynthia.,Stephen was realizing what men had repaired with Cynthia.,Stephen was realizing what men had repaired the dish with.,Stephen was realizing what had repaired the dish.,97
98,All waitresses have found out that some glove embarrasses that man for Allison.,All waitresses have found out who some glove embarrasses for Allison.,All waitresses have found out who some glove embarrasses that man for.,All waitresses have found out who embarrasses that man.,98
99,An electrician conceals that a pedestrian goes to some museum for the piano teachers.,An electrician conceals what a pedestrian goes to for the piano teachers.,An electrician conceals what a pedestrian goes to some museum for.,An electrician conceals what goes to some museum.,99
100,Julia didn't find out that these French teachers froze this glacier for these guests.,Julia didn't find out what these French teachers froze for these guests.,Julia didn't find out what these French teachers froze this glacier for.,Julia didn't find out what froze this glacier.,100
101,Thomas hasn't revealed that a lot of pedestrians can't resemble that painting with Dan.,Thomas hasn't revealed what a lot of pedestrians can't resemble with Dan.,Thomas hasn't revealed what a lot of pedestrians can't resemble that painting with.,Thomas hasn't revealed what can't resemble that painting.,101
102,These actresses realized that this guest fixed that skateboard with Laura.,These actresses realized what this guest fixed with Laura.,These actresses realized what this guest fixed that skateboard with.,These actresses realized what fixed that skateboard.,102
103,Mary had forgotten that plates aid Linda for Gerald.,Mary had forgotten who plates aid for Gerald.,Mary had forgotten who plates aid Linda for.,Mary had forgotten who aid Linda.,103
104,David forgets that dentists didn't flee from Brenda for Brad.,David forgets who dentists didn't flee from for Brad.,David forgets who dentists didn't flee from Brenda for.,David forgets who didn't flee from Brenda.,104
105,A lot of committees discover that a lot of French teachers break these screens for Sharon.,A lot of committees discover what a lot of French teachers break for Sharon.,A lot of committees discover what a lot of French teachers break these screens for.,A lot of committees discover what break these screens.,105
106,Carl finds out that a lot of actors researched all hills with Eric.,Carl finds out what a lot of actors researched with Eric.,Carl finds out what a lot of actors researched all hills with.,Carl finds out what researched all hills.,106
107,John investigates that doctors boycotted every museum with that guy.,John investigates what doctors boycotted with that guy.,John investigates what doctors boycotted every museum with.,John investigates what boycotted every museum.,107
108,Amelia had remembered that legislatures talked about Ella for Carlos.,Amelia had remembered who legislatures talked about for Carlos.,Amelia had remembered who legislatures talked about Ella for.,Amelia had remembered who talked about Ella.,108
109,Nina does learn that this teenager loses that fish with Kristen.,Nina does learn what this teenager loses with Kristen.,Nina does learn what this teenager loses that fish with.,Nina does learn what loses that fish.,109
110,Elizabeth was forgetting that the partner hadn't exited many banks with Carmen.,Elizabeth was forgetting what the partner hadn't exited with Carmen.,Elizabeth was forgetting what the partner hadn't exited many banks with.,Elizabeth was forgetting what hadn't exited many banks.,110
111,A lot of ladies discover that this goose climbed down these hills for Nicole.,A lot of ladies discover what this goose climbed down for Nicole.,A lot of ladies discover what this goose climbed down these hills for.,A lot of ladies discover what climbed down these hills.,111
112,Harvard University discovers that some hairdressers discussed the teacher with these doctors.,Harvard University discovers who some hairdressers discussed with these doctors.,Harvard University discovers who some hairdressers discussed the teacher with.,Harvard University discovers who discussed the teacher.,112
113,Jeffrey wasn't discovering that all brochures do disagree with most podiatrists with Carlos.,Jeffrey wasn't discovering who all brochures do disagree with with Carlos.,Jeffrey wasn't discovering who all brochures do disagree with most podiatrists with.,Jeffrey wasn't discovering who do disagree with most podiatrists.,113
114,Anne wasn't remembering that all ladies clean a lot of libraries with a tutor.,Anne wasn't remembering what all ladies clean with a tutor.,Anne wasn't remembering what all ladies clean a lot of libraries with.,Anne wasn't remembering what clean a lot of libraries.,114
115,Stacey isn't remembering that that waiter fixed that chair for Vanessa.,Stacey isn't remembering what that waiter fixed for Vanessa.,Stacey isn't remembering what that waiter fixed that chair for.,Stacey isn't remembering what fixed that chair.,115
116,Many companies forget that a piano teacher visits Carolyn for Randolf.,Many companies forget who a piano teacher visits for Randolf.,Many companies forget who a piano teacher visits Carolyn for.,Many companies forget who visits Carolyn.,116
117,This electrician found out that these customers repair some carriages with some driver.,This electrician found out what these customers repair with some driver.,This electrician found out what these customers repair some carriages with.,This electrician found out what repair some carriages.,117
118,A teenager knew that those electricians think about these computers with Allison.,A teenager knew what those electricians think about with Allison.,A teenager knew what those electricians think about these computers with.,A teenager knew what think about these computers.,118
119,Andrew was finding out that adults forgave Diane with Dan.,Andrew was finding out who adults forgave with Dan.,Andrew was finding out who adults forgave Diane with.,Andrew was finding out who forgave Diane.,119
120,All partners reveal that a lot of associations are spending those coins with Heidi.,All partners reveal what a lot of associations are spending with Heidi.,All partners reveal what a lot of associations are spending those coins with.,All partners reveal what are spending those coins.,120
121,Many guests realize that every man had left Donald with guests.,Many guests realize who every man had left with guests.,Many guests realize who every man had left Donald with.,Many guests realize who had left Donald.,121
122,Jesus hadn't realized that those dentists will destroy all carriages for Teresa.,Jesus hadn't realized what those dentists will destroy for Teresa.,Jesus hadn't realized what those dentists will destroy all carriages for.,Jesus hadn't realized what will destroy all carriages.,122
123,Some organization remembers that many French teachers will spend all checks with every waitress.,Some organization remembers what many French teachers will spend with every waitress.,Some organization remembers what many French teachers will spend all checks with.,Some organization remembers what will spend all checks.,123
124,Craig doesn't remember that students hadn't held some student for April.,Craig doesn't remember who students hadn't held for April.,Craig doesn't remember who students hadn't held some student for.,Craig doesn't remember who hadn't held some student.,124
125,Carmen shouldn't forget that a guest can't exit these art galleries with the Impressionists.,Carmen shouldn't forget what a guest can't exit with the Impressionists.,Carmen shouldn't forget what a guest can't exit these art galleries with.,Carmen shouldn't forget what can't exit these art galleries.,125
126,Mitchell investigates that those waiters build that cafe for Scott.,Mitchell investigates what those waiters build for Scott.,Mitchell investigates what those waiters build that cafe for.,Mitchell investigates what build that cafe.,126
127,April won't find out that the offspring had drawn this chair with the contractors.,April won't find out what the offspring had drawn with the contractors.,April won't find out what the offspring had drawn this chair with.,April won't find out what had drawn this chair.,127
128,Peter has learned that the senator hasn't eaten every apple for a lot of boys.,Peter has learned what the senator hasn't eaten for a lot of boys.,Peter has learned what the senator hasn't eaten every apple for.,Peter has learned what hasn't eaten every apple.,128
129,Sabrina has concealed that senators haven't stunned Teresa for Maria.,Sabrina has concealed who senators haven't stunned for Maria.,Sabrina has concealed who senators haven't stunned Teresa for.,Sabrina has concealed who haven't stunned Teresa.,129
130,Anna has forgotten that most dancers shouldn't describe some women for a lot of hairdressers.,Anna has forgotten who most dancers shouldn't describe for a lot of hairdressers.,Anna has forgotten who most dancers shouldn't describe some women for.,Anna has forgotten who shouldn't describe some women.,130
131,Katherine wasn't investigating that some guest could tear all glasses with Marie.,Katherine wasn't investigating what some guest could tear with Marie.,Katherine wasn't investigating what some guest could tear all glasses with.,Katherine wasn't investigating what could tear all glasses.,131
132,Some guy wasn't figuring out that some organization purchased that college campus with many adults.,Some guy wasn't figuring out what some organization purchased with many adults.,Some guy wasn't figuring out what some organization purchased that college campus with.,Some guy wasn't figuring out what purchased that college campus.,132
133,Christina hasn't concealed that this patient hugged Anne with Ruth.,Christina hasn't concealed who this patient hugged with Ruth.,Christina hasn't concealed who this patient hugged Anne with.,Christina hasn't concealed who hugged Anne.,133
134,Sara did investigate that an associate is driving a bike with every waitress.,Sara did investigate what an associate is driving with every waitress.,Sara did investigate what an associate is driving a bike with.,Sara did investigate what is driving a bike.,134
135,The person hadn't discovered that this pepper embarrasses Alexander for Amelia.,The person hadn't discovered who this pepper embarrasses for Amelia.,The person hadn't discovered who this pepper embarrasses Alexander for.,The person hadn't discovered who embarrasses Alexander.,135
136,Andrea wasn't finding out that the adults haven't approached some teachers with Leslie.,Andrea wasn't finding out who the adults haven't approached with Leslie.,Andrea wasn't finding out who the adults haven't approached some teachers with.,Andrea wasn't finding out who haven't approached some teachers.,136
137,Russell realizes that every paralysis wasn't boring Daniel with Noah.,Russell realizes who every paralysis wasn't boring with Noah.,Russell realizes who every paralysis wasn't boring Daniel with.,Russell realizes who wasn't boring Daniel.,137
138,Scott figured out that many actresses hadn't destroyed that mirror for the podiatrists.,Scott figured out what many actresses hadn't destroyed for the podiatrists.,Scott figured out what many actresses hadn't destroyed that mirror for.,Scott figured out what hadn't destroyed that mirror.,138
139,Many waitresses discover that all students bike to Harvard University for these lawyers.,Many waitresses discover what all students bike to for these lawyers.,Many waitresses discover what all students bike to Harvard University for.,Many waitresses discover what bike to Harvard University.,139
140,Theresa has figured out that every hamster descended most mountains with Deanna.,Theresa has figured out what every hamster descended with Deanna.,Theresa has figured out what every hamster descended most mountains with.,Theresa has figured out what descended most mountains.,140
141,Laura hasn't investigated that the sweater distracts that associate for an adult.,Laura hasn't investigated who the sweater distracts for an adult.,Laura hasn't investigated who the sweater distracts that associate for.,Laura hasn't investigated who distracts that associate.,141
142,The Lutherans learn that some pedestrian shakes Nina with most teachers.,The Lutherans learn who some pedestrian shakes with most teachers.,The Lutherans learn who some pedestrian shakes Nina with.,The Lutherans learn who shakes Nina.,142
143,Lisa knows that all companies can't hinder Wendy with Eric.,Lisa knows who all companies can't hinder with Eric.,Lisa knows who all companies can't hinder Wendy with.,Lisa knows who can't hinder Wendy.,143
144,Kathleen has remembered that this waiter hadn't written some essays with many customers.,Kathleen has remembered what this waiter hadn't written with many customers.,Kathleen has remembered what this waiter hadn't written some essays with.,Kathleen has remembered what hadn't written some essays.,144
145,Allison forgot that most pedestrians couldn't research these paintings with Guy.,Allison forgot what most pedestrians couldn't research with Guy.,Allison forgot what most pedestrians couldn't research these paintings with.,Allison forgot what couldn't research these paintings.,145
146,Judy can know that those committees spent every check with Debra.,Judy can know what those committees spent with Debra.,Judy can know what those committees spent every check with.,Judy can know what spent every check.,146
147,Gary was concealing that every contractor couldn't fight the hospital with Galileo.,Gary was concealing what every contractor couldn't fight with Galileo.,Gary was concealing what every contractor couldn't fight the hospital with.,Gary was concealing what couldn't fight the hospital.,147
