,adj_that,adj_wh,adj_subj_that,adj_subj_wh,pairID,,,,,,,,,,,,,,,,,,,,
47,George remembered that many guys couldn't hide these cups before revealing George.,George remembered what many guys couldn't hide before revealing George.,George remembered that many guys rusted before revealing George couldn't hide these cups.,George remembered what many guys rusted before revealing George couldn't hide.,47,,,,,,,,,,,,,,,,,,,,
48,Carl wasn't concealing that some electrician doesn't wear every sweater while admiring those doors.,Carl wasn't concealing what some electrician doesn't wear while admiring those doors.,Carl wasn't concealing that some electrician wasted away while admiring those doors doesn't wear every sweater.,Carl wasn't concealing what some electrician wasted away while admiring those doors doesn't wear.,48,,,,,,,,,,,,,,,,,,,,
49,Noah is finding out that those actors haven't shaken John while watching William.,Noah is finding out who those actors haven't shaken while watching William.,Noah is finding out that those actors assembled while watching William haven't shaken John.,Noah is finding out who those actors assembled while watching William haven't shaken.,49,,,,,,,,,,,,,,,,,,,,
50,Andrew found out that most oncologists had healed Wayne while shocking Monica.,Andrew found out who most oncologists had healed while shocking Monica.,Andrew found out that most oncologists solidified while shocking Monica had healed Wayne.,Andrew found out who most oncologists solidified while shocking Monica had healed.,50,,,,,,,,,,,,,,,,,,,,
51,The French teachers figure out that that teacher wasn't discovering that banana while discovering Rose.,The French teachers figure out what that teacher wasn't discovering while discovering Rose.,The French teachers figure out that that teacher needed while discovering Rose wasn't discovering that banana.,The French teachers figure out what that teacher needed while discovering Rose wasn't discovering.,51,,,,,,,,,,,,,,,,,,,,
52,The legislatures figure out that that dancer has hurt Elaine after hiding some patient.,The legislatures figure out who that dancer has hurt after hiding some patient.,The legislatures figure out that that dancer discussed after hiding some patient has hurt Elaine.,The legislatures figure out who that dancer discussed after hiding some patient has hurt.,52,,,,,,,,,,,,,,,,,,,,
53,All hairdressers were realizing that many patients arrive at most high schools after exiting those closets.,All hairdressers were realizing what many patients arrive at after exiting those closets.,All hairdressers were realizing that many patients hugged after exiting those closets arrive at most high schools.,All hairdressers were realizing what many patients hugged after exiting those closets arrive at.,53,,,,,,,,,,,,,,,,,,,,
54,Curtis is discovering that some prints hadn't looked like those projectors while looking like handymen.,Curtis is discovering what some prints hadn't looked like while looking like handymen.,Curtis is discovering that some prints hunted while looking like handymen hadn't looked like those projectors.,Curtis is discovering what some prints hunted while looking like handymen hadn't looked like.,54,,,,,,,,,,,,,,,,,,,,
55,Deanna is revealing that those senators haven't investigated a library while worrying some partner.,Deanna is revealing what those senators haven't investigated while worrying some partner.,Deanna is revealing that those senators departed while worrying some partner haven't investigated a library.,Deanna is revealing what those senators departed while worrying some partner haven't investigated.,55,,,,,,,,,,,,,,,,,,,,
56,Most patients remember that a lot of boys admired the forks while fixing these couches.,Most patients remember what a lot of boys admired while fixing these couches.,Most patients remember that a lot of boys burned while fixing these couches admired the forks.,Most patients remember what a lot of boys burned while fixing these couches admired.,56,,,,,,,,,,,,,,,,,,,,
57,Most senators know that this senator is getting a lot of planes without drawing Helen.,Most senators know what this senator is getting without drawing Helen.,Most senators know that this senator spun around without drawing Helen is getting a lot of planes.,Most senators know what this senator spun around without drawing Helen is getting.,57,,,,,,,,,,,,,,,,,,,,
58,Jerry hasn't investigated that some bikes distract every boy after worrying Jesus.,Jerry hasn't investigated who some bikes distract after worrying Jesus.,Jerry hasn't investigated that some bikes married after worrying Jesus distract every boy.,Jerry hasn't investigated who some bikes married after worrying Jesus distract.,58,,,,,,,,,,,,,,,,,,,,
59,Martin hadn't figured out that every guest hasn't investigated Sandra without striking Deanna.,Martin hadn't figured out who every guest hasn't investigated without striking Deanna.,Martin hadn't figured out that every guest advised without striking Deanna hasn't investigated Sandra.,Martin hadn't figured out who every guest advised without striking Deanna hasn't investigated.,59,,,,,,,,,,,,,,,,,,,,
60,Anna had found out that most guys boycotted these universities after scaring Katherine.,Anna had found out what most guys boycotted after scaring Katherine.,Anna had found out that most guys met after scaring Katherine boycotted these universities.,Anna had found out what most guys met after scaring Katherine boycotted.,60,,,,,,,,,,,,,,,,,,,,
61,Wayne concealed that every driver forgives Teresa without bothering Meredith.,Wayne concealed who every driver forgives without bothering Meredith.,Wayne concealed that every driver stunned without bothering Meredith forgives Teresa.,Wayne concealed who every driver stunned without bothering Meredith forgives.,61,,,,,,,,,,,,,,,,,,,,
62,Mary knows that an association worries Marcus while hiring Alan.,Mary knows who an association worries while hiring Alan.,Mary knows that an association refused while hiring Alan worries Marcus.,Mary knows who an association refused while hiring Alan worries.,62,,,,,,,,,,,,,,,,,,,,
63,Sheila will realize that some oncologists were singing many melodies before researching some opera.,Sheila will realize what some oncologists were singing before researching some opera.,Sheila will realize that some oncologists condensed before researching some opera were singing many melodies.,Sheila will realize what some oncologists condensed before researching some opera were singing.,63,,,,,,,,,,,,,,,,,,,,
64,Eva discovers that the associate researched the cafes before going to the grocery store.,Eva discovers what the associate researched before going to the grocery store.,Eva discovers that the associate soaked before going to the grocery store researched the cafes.,Eva discovers what the associate soaked before going to the grocery store researched.,64,,,,,,,,,,,,,,,,,,,,
65,Walter can't conceal that many banks have that check after buying that soda.,Walter can't conceal what many banks have after buying that soda.,Walter can't conceal that many banks hunted after buying that soda have that check.,Walter can't conceal what many banks hunted after buying that soda have.,65,,,,,,,,,,,,,,,,,,,,
66,A driver is investigating that these drivers had gone to a lot of cafes while skating around some hills.,A driver is investigating what these drivers had gone to while skating around some hills.,A driver is investigating that these drivers returned to while skating around some hills had gone to a lot of cafes.,A driver is investigating what these drivers returned to while skating around some hills had gone to.,66,,,,,,,,,,,,,,,,,,,,
67,All children discover that the electrician did drive carts without lifting some raft.,All children discover what the electrician did drive without lifting some raft.,All children discover that the electrician swayed without lifting some raft did drive carts.,All children discover what the electrician swayed without lifting some raft did drive.,67,,,,,,,,,,,,,,,,,,,,
68,That doctor realized that a couch astounds Carlos while bothering Donald.,That doctor realized who a couch astounds while bothering Donald.,That doctor realized that a couch disappeared while bothering Donald astounds Carlos.,That doctor realized who a couch disappeared while bothering Donald astounds.,68,,,,,,,,,,,,,,,,,,,,
69,This woman remembers that all podiatrists fixed those computers while finding a canoe.,This woman remembers what all podiatrists fixed while finding a canoe.,This woman remembers that all podiatrists caught while finding a canoe fixed those computers.,This woman remembers what all podiatrists caught while finding a canoe fixed.,69,,,,,,,,,,,,,,,,,,,,
70,Mark is investigating that most alumni drive a lot of cars after finding those kitchens.,Mark is investigating what most alumni drive after finding those kitchens.,Mark is investigating that most alumni debated after finding those kitchens drive a lot of cars.,Mark is investigating what most alumni debated after finding those kitchens drive.,70,,,,,,,,,,,,,,,,,,,,
71,Kirsten hasn't found out that this hospital was stunning an electrician without hindering Meredith.,Kirsten hasn't found out who this hospital was stunning without hindering Meredith.,Kirsten hasn't found out that this hospital concealed without hindering Meredith was stunning an electrician.,Kirsten hasn't found out who this hospital concealed without hindering Meredith was stunning.,71,,,,,,,,,,,,,,,,,,,,
72,Cheryl doesn't forget that those French teachers boast about Martin after watching Curtis.,Cheryl doesn't forget who those French teachers boast about after watching Curtis.,Cheryl doesn't forget that those French teachers donated after watching Curtis boast about Martin.,Cheryl doesn't forget who those French teachers donated after watching Curtis boast about.,72,,,,,,,,,,,,,,,,,,,,
73,Many drivers find out that a lot of rivers aren't distracting Stacey without alarming some hairdresser.,Many drivers find out who a lot of rivers aren't distracting without alarming some hairdresser.,Many drivers find out that a lot of rivers shattered without alarming some hairdresser aren't distracting Stacey.,Many drivers find out who a lot of rivers shattered without alarming some hairdresser aren't distracting.,73,,,,,,,,,,,,,,,,,,,,
74,Rose reveals that some plays aggravate every organization without embarrassing this podiatrist.,Rose reveals what some plays aggravate without embarrassing this podiatrist.,Rose reveals that some plays scorched without embarrassing this podiatrist aggravate every organization.,Rose reveals what some plays scorched without embarrassing this podiatrist aggravate.,74,,,,,,,,,,,,,,,,,,,,
75,The driver wasn't discovering that a teacher wears that dress after admiring piano teachers.,The driver wasn't discovering what a teacher wears after admiring piano teachers.,The driver wasn't discovering that a teacher charred after admiring piano teachers wears that dress.,The driver wasn't discovering what a teacher charred after admiring piano teachers wears.,75,,,,,,,,,,,,,,,,,,,,
76,Connie will investigate that these actresses catch Donald before shooting the Lutherans.,Connie will investigate who these actresses catch before shooting the Lutherans.,Connie will investigate that these actresses gotten a job before shooting the Lutherans catch Donald.,Connie will investigate who these actresses gotten a job before shooting the Lutherans catch.,76,,,,,,,,,,,,,,,,,,,,
77,Joseph remembered that most pedestrians might hide Bill while discovering Eva.,Joseph remembered who most pedestrians might hide while discovering Eva.,Joseph remembered that most pedestrians confused while discovering Eva might hide Bill.,Joseph remembered who most pedestrians confused while discovering Eva might hide.,77,,,,,,,,,,,,,,,,,,,,
78,This partner has figured out that the French teacher praises a story before praising many adults.,This partner has figured out what the French teacher praises before praising many adults.,This partner has figured out that the French teacher insulted before praising many adults praises a story.,This partner has figured out what the French teacher insulted before praising many adults praises.,78,,,,,,,,,,,,,,,,,,,,
79,That dancer had investigated that the teachers scan these documentaries after examining some story.,That dancer had investigated what the teachers scan after examining some story.,That dancer had investigated that the teachers forgotten after examining some story scan these documentaries.,That dancer had investigated what the teachers forgotten after examining some story scan.,79,,,,,,,,,,,,,,,,,,,,
80,Kenneth should remember that all guests purchased every pepper after noticing Steve.,Kenneth should remember what all guests purchased after noticing Steve.,Kenneth should remember that all guests tightened after noticing Steve purchased every pepper.,Kenneth should remember what all guests tightened after noticing Steve purchased.,80,,,,,,,,,,,,,,,,,,,,
81,Most French teachers reveal that some restaurant astounds Catherine while scaring Harvard University.,Most French teachers reveal who some restaurant astounds while scaring Harvard University.,Most French teachers reveal that some restaurant dropped while scaring Harvard University astounds Catherine.,Most French teachers reveal who some restaurant dropped while scaring Harvard University astounds.,81,,,,,,,,,,,,,,,,,,,,
82,The drivers learn that most doctors breed a lot of hamsters while exposing couches.,The drivers learn what most doctors breed while exposing couches.,The drivers learn that most doctors fled from while exposing couches breed a lot of hamsters.,The drivers learn what most doctors fled from while exposing couches breed.,82,,,,,,,,,,,,,,,,,,,,
83,Most hospitals find out that the French teacher tears many shoes after noticing Amy.,Most hospitals find out what the French teacher tears after noticing Amy.,Most hospitals find out that the French teacher talked to after noticing Amy tears many shoes.,Most hospitals find out what the French teacher talked to after noticing Amy tears.,83,,,,,,,,,,,,,,,,,,,,
84,The bank wasn't realizing that some student escapes from Carol without worrying all libraries.,The bank wasn't realizing who some student escapes from without worrying all libraries.,The bank wasn't realizing that some student embarrassed without worrying all libraries escapes from Carol.,The bank wasn't realizing who some student embarrassed without worrying all libraries escapes from.,84,,,,,,,,,,,,,,,,,,,,
85,Donald can't know that these children had approached Nancy before curing every customer.,Donald can't know who these children had approached before curing every customer.,Donald can't know that these children praised before curing every customer had approached Nancy.,Donald can't know who these children praised before curing every customer had approached.,85,,,,,,,,,,,,,,,,,,,,
86,Allison revealed that every student can care for Patricia while admiring all cafes.,Allison revealed who every student can care for while admiring all cafes.,Allison revealed that every student gone bad while admiring all cafes can care for Patricia.,Allison revealed who every student gone bad while admiring all cafes can care for.,86,,,,,,,,,,,,,,,,,,,,
87,Vanessa was concealing that some customer hugs Michelle while kissing Randolf.,Vanessa was concealing who some customer hugs while kissing Randolf.,Vanessa was concealing that some customer whispered while kissing Randolf hugs Michelle.,Vanessa was concealing who some customer whispered while kissing Randolf hugs.,87,,,,,,,,,,,,,,,,,,,,
88,Gerald discovers that some alumni aren't listening to Veronica before discovering pies.,Gerald discovers who some alumni aren't listening to before discovering pies.,Gerald discovers that some alumni wanted before discovering pies aren't listening to Veronica.,Gerald discovers who some alumni wanted before discovering pies aren't listening to.,88,,,,,,,,,,,,,,,,,,,,
89,This French teacher had revealed that that oncologist forgets Karen while drawing coins.,This French teacher had revealed who that oncologist forgets while drawing coins.,This French teacher had revealed that that oncologist approved while drawing coins forgets Karen.,This French teacher had revealed who that oncologist approved while drawing coins forgets.,89,,,,,,,,,,,,,,,,,,,,
90,Many people could learn that that woman shouldn't climb down those hills while noticing Kenneth.,Many people could learn what that woman shouldn't climb down while noticing Kenneth.,Many people could learn that that woman forgiven while noticing Kenneth shouldn't climb down those hills.,Many people could learn what that woman forgiven while noticing Kenneth shouldn't climb down.,90,,,,,,,,,,,,,,,,,,,,
91,The patient isn't revealing that waitresses criticize Julia without admiring Noah.,The patient isn't revealing who waitresses criticize without admiring Noah.,The patient isn't revealing that waitresses left without admiring Noah criticize Julia.,The patient isn't revealing who waitresses left without admiring Noah criticize.,91,,,,,,,,,,,,,,,,,,,,
92,Todd was forgetting that some student buys many mountains before taking many checks.,Todd was forgetting what some student buys before taking many checks.,Todd was forgetting that some student commanded before taking many checks buys many mountains.,Todd was forgetting what some student commanded before taking many checks buys.,92,,,,,,,,,,,,,,,,,,,,
93,Gregory wouldn't find out that all electricians are hugging Lawrence before boasting about Valerie.,Gregory wouldn't find out who all electricians are hugging before boasting about Valerie.,Gregory wouldn't find out that all electricians evaporated before boasting about Valerie are hugging Lawrence.,Gregory wouldn't find out who all electricians evaporated before boasting about Valerie are hugging.,93,,,,,,,,,,,,,,,,,,,,
94,Jeffrey could conceal that this girl grows apples after thinking about some windows.,Jeffrey could conceal what this girl grows after thinking about some windows.,Jeffrey could conceal that this girl clashed after thinking about some windows grows apples.,Jeffrey could conceal what this girl clashed after thinking about some windows grows.,94,,,,,,,,,,,,,,,,,,,,
95,Irene has forgotten that the tutor is exploring every hospital without fleeing from all adults.,Irene has forgotten what the tutor is exploring without fleeing from all adults.,Irene has forgotten that the tutor turned without fleeing from all adults is exploring every hospital.,Irene has forgotten what the tutor turned without fleeing from all adults is exploring.,95,,,,,,,,,,,,,,,,,,,,
96,Carolyn revealed that many adults haven't driven some plane before bending a glass.,Carolyn revealed what many adults haven't driven before bending a glass.,Carolyn revealed that many adults scared before bending a glass haven't driven some plane.,Carolyn revealed what many adults scared before bending a glass haven't driven.,96,,,,,,,,,,,,,,,,,,,,
97,Actresses discover that this commentary bored Jacqueline after astounding Linda.,Actresses discover who this commentary bored after astounding Linda.,Actresses discover that this commentary kissed after astounding Linda bored Jacqueline.,Actresses discover who this commentary kissed after astounding Linda bored.,97,,,,,,,,,,,,,,,,,,,,
98,Many guys figure out that some person hired these hairdressers before teaching Christina.,Many guys figure out who some person hired before teaching Christina.,Many guys figure out that some person flung open before teaching Christina hired these hairdressers.,Many guys figure out who some person flung open before teaching Christina hired.,98,,,,,,,,,,,,,,,,,,,,
