id,full_paragraph
cj66_15," The point is that many of the most impressive developments in the arts nowadays are aberrant , idiosyncratic . There is no longer any sense of continuing development of the sort that can be traced from Baudelaire to Eluard , or for that matter , from Hawthorne through Henry James to Gertrude Stein . The cubist generation before World War 1 , , and , on a lower level , the surrealists of the period between the wars , both assumed an accepted universe of discourse , in which , to quote Andre Breton , it was possible to make definite advances , exactly as in the sciences . I doubt if anyone holds such ideas today . Continuity exits , but like the neo-swing music developed from Lester Young , it is a continuity sustained by popular demand ."
cj66_18," A process of elimination which leaves the artist with nothing but the play of his materials themselves cannot sustain interest in either artist or public for very long . So , in the last couple of years , abstract expressionism has tended toward romantic suggestion -- indications of landscape or living figures ."
cj32_4," Text lookup , as we will describe it , consists of three steps . The first is compiling a list of text forms , assigning an information cell to each , and replacing text occurrences with the information cell assigned to the form of each occurrence . For this step the computer memory is separated into three regions : cells in the W-region are used for storage of the forms in the text-form list ; ; cells in the X-region and Y region are reserved as information cells for text forms ."
ch07_2," There are forty-seven special district governments in Rhode Island ( excluding two regional school districts , four housing authorities , and the Kent County Water Authority ) . These forty-seven special purpose governments have the authority to levy taxes , to borrow money , own property , sue and be sued , and in general to exercise normal corporate powers . Unlike cities and towns , however , they do not have to submit any financial statements to the state Bureau of Audits . It is not an exaggeration to say that the state government has little or no fiscal control over these units of government . In addition to the collection of service charges , the special districts levy annual property taxes of approximately $450,000 ."
ch07_18," The uniform fiscal year brings the town's fiscal year into line with that of the schools , which expend the largest share of local disbursements . This greatly simplifies the town's bookkeeping and financial reporting . 5 ."
ch07_19," The uniform fiscal year eliminates interest charges on money borrowed in the form of tax anticipation notes . Furthermore , tax collections not immediately needed for current expenditures may be invested in short-term treasury notes , augmenting the town's miscellaneous revenues and reducing the tax levy . 6 ."
cj35_4," It will be seen that where the scope is similar , the Athabascan ratios come out somewhat higher ( as indeed they ought to with a total ratio of 2.8 as against 3.5 or 4 : 5 ) except for verbs , where alone the Athabascan ratio is lower . This exception may be connected with Hoijer's use of a much higher percentage of verbs : 22% of his total list as against 3.5% in mine . Or the exception may be due to a particular durability peculiar to the Athabascan verb . More word class ratios determined in more languages will no doubt ultimately answer the question ."
cj35_11," Thomas also presents a simple equation for deriving an index of persistence , which weights not only the number of stems ( ' roots ' ) per meaning , but their relative frequency . Thus his persistence values for some stem frequencies per meaning are : stem identical in 8 languages , 100% ; ; stem frequencies 7 and 1 , 86% ; ; stem frequencies 4 and 4 , 64% ; ; stem frequencies 4 , 3 , and 1 , 57% . His formula will have to be weighed , may be altered or improved , and it should be tested on additional bodies of material . But consideration of the frequency of stems per constant meaning seems to be established as having significance in comparative situations with diachronic and classificatory relevance ; ; and Gleason presumably is on the way with a further contribution in this area ."
cj35_14," These findings , and others which will in time be developed , will affect the method of glottochronological inquiry . If adjectival meanings show relatively low retentiveness of stems , as I am confident will prove to be the case in most languages of the world , why should our basic lists include 15 per cent of these unstable forms , but only 8 per cent of animals and plants which replace much more slowly ? ? Had Hoijer substituted for his 15 adjectival slots 15 good animal and plant items , his rate of stem replacement would have been lower and the age of Athabascan language separation smaller . And irrespective of the outcome in centuries elapsed since splitting , calculations obviously carry more concordant and comparable meaning if they deal with the most stable units than with variously unstable ones ."
cb09_26," So successful has been this program , worked out by white and Negro civic leaders , that further extensions are expected in the next few months . Hotels , for example , are ready to let down the bars . Already , at least one hotel has been quietly taking reservations on a nonracial basis . Several conventions have been held in recent months in hotels on a nonsegregated basis ."
cj58_19," Resolved , that we find in this fearful tragedy at Harper's Ferry a reason for more earnest effort to remove the evil of slavery from the whole land as speedily as possible ."
cn03_39," His shout had been taken up and repeated . The guerrillas were running across the parade ground and through the rear gate in the wake of the departing horses . All were carrying guns they had seized up , but they were half-clad or hardly clad at all ."
cn03_41," Mike made a dash to the rear of the frame buildings . He crawled beneath the two supply wagons which stood between the buildings and peered around a corner . The area was deserted . A man was standing in the open door of the lighted orderly room a few yards to Mike's left , but he , too , suddenly made up his mind and went racing to join the confused activity at the east end of the stockade ."
cn03_46," He shouldered the blanket again , backed off , and tossed the lantern with its open wick beneath the wagon . He turned and raced across the parade ground toward the rock house ."
cn03_53, The wagons were burning fiercely . The mudwagon had caught fire also . The blaze was spreading to the frame buildings .
cl09_49," Again the homely , everyday details of daily living refuted a vicious attempt to frighten her -- or to murder her ."
cf07_19," When no medical problems exist , the newly married couple generally prefer to cope with the adjustments of their new relationship by themselves . Special information and guidance about the possible difficulties are still of great value . Folk-lore , superstition and remembered passages from erotic literature can create physical and emotional problems if blindly taken as scientific facts and useful hints ."
cf07_23," In fact , the technical procedure in medical examinations may be wisely adapted to his romantic purposes by the husband during the honeymoon ."
cn04_12," For , unlike the Sioux and the Crows , the Aricaras are not great horsemen , nor are they aggressive like the savage Blackfeet . More of an agricultural nation , they have relied on their warriors only for defense and for survival in the endless wars of the plains . Still , I was disgusted with myself for agreeing with Montero's methods ."
cj69_20," The DA statement is used to name and define the positions and length of fields within an area . The DC statement is used to name and enter constants into the object program . Since the 7070 and 7074 make use of record definition words ( RDWS ) to read , write , move , and otherwise examine blocks of storage , the DA and DC statements provide the option of generating RDWS automatically . When so instructed , Autocoder will generate one or more RDWS and assign them successive locations immediately preceding the area with which they are to be associated . An RDW will be of the form Af , where xxxx is the starting location of the area and yyyy is its ending location . These addresses are calculated automatically by the processor ."
cf31_3," Lizzie stated during the inquest that while her father and uncle were in the sitting room the afternoon before the murders , she had been disturbed by their voices and had closed her door , even though it was a very hot day ."
cj56_28," The Colonial Light and Power Company was succeeded by the Vermont Hydro-Electric Corporation , which in turn was absorbed by the Central Vermont Public Service Corporation . The latter now furnishes the area with electricity distributed from a modern sub-station at Manchester Depot which was put into operation February 19 , 1930 and was improved in January 1942 by the installation of larger transformers ."
cj56_29," For a time following the abandonment of the local plant , electric current for Manchester was brought in from the south with an emergency tie-in with the Vermont Marble Company system to the north ."
cl07_6," He figured his best bet was a call on the sheriff . A clerk in the outer office took him in to Sheriff Carruthers , a big , paunchy man with thick , white hair and a voice with a senatorial resonance which suggested he should be running for higher office ."
cl07_41," Hank was beginning to feel sharp concern for Mr. Black . If Mrs. Black was who he thought she was , Mr. Black's Peerless selling days might well be over ."
cl07_46, He jumped up and turned around to see the metal door closing . It clanged shut as he sprang toward it .
cf09_34," The luxury of Paris' most fashionable hotel , the George 5 , , bored the beautifully-built blonde , so she high-tailed it to Rome ."
cf09_52," She picked her own Middle-Eastern friends from the flock of ardent Egyptians that buzzed around her . Tewfik Badrawi , Mohammed Gaafer and numerous other wealthy members of Cairo society enjoyed her company ."
cj05_5," Physical chemistry of washing Although there is no question but that the process of washing fabrics involves a number of phenomena which are related together in an extremely complicated way and that these phenomena and their interrelations are not well understood at the present , this section attempts to present briefly an up-to-date picture of the physical chemistry of washing either fabrics or hard surfaces . The purpose of washing is , obviously , to remove soils which are arbitrarily classed in the four major categories given below : 1 ."
cj05_9," Miscellaneous soils , which primarily include sticky substances and colorless liquids which evaporate to leave a residue ."
cb06_10," Further , do our reforming friends really believe that the cartoonists will consent to the banishment of the tiger from their zoo ? ? They will -- when they give up the donkey and the elephant . Instead of attempting the impossible , why not a publicity campaign to prove that all the tiger's stripes are not black ? ? That might go over ."
ch08_2," On April 30 , ceremonies commemorating the departure of these volunteers will take place at 1:00 P.M. at the Dexter Training Grounds in Providence . The Independence Day celebration will be properly observed with a big military and civic parade from West Warwick to the Greene Homestead in Anthony ; ; and now , therefore , do I , John A. Notte , Jr. , governor of the State of Rhode Island and Providence Plantations , proclaim the week of april 29th to may 7th , 1961 , as Rhode Island Heritage Week , advising our citizens that throughout this week many historic houses and beautiful gardens will be open to visitors as well as industrial plants , craft shops , museums and libraries and I earnestly urge all to take advantage of these opportunities to see as many of these places as they can during this outstanding week ."
cj02_0," Abstract Experiments were made on an electric arc applying a porous graphite anode cooled by a transpiring gas ( Argon ) . Thus , the energy transferred from the arc to the anode was partly fed back into the arc . It was shown that by proper anode design the net energy loss of the arc to the anode could be reduced to approximately 15% of the total arc energy . A detailed energy balance of the anode was established . The anode ablation could be reduced to a negligible amount . The dependence of the arc voltage upon the mass flow velocity of the transpirating gas was investigated for various arc lengths and currents between 100 Amp and 200 Aj . Qualitative observations were made and high-speed motion pictures were taken to study flow phenomena in the arc at various mass flow velocities ."
ch30_12," The academic dean should take a direct , long-term interest in faculty development . An alert dean will confer all through the year on personnel needs , plans for the future , qualifications of those on the job , and bright prospects elsewhere ."
cb01_15, The danger lay not in believing that our own A-bombs would deter Russia's use of hers ; ; that theory was and is sound . The danger lay in the American delusion that nuclear deterrence was enough .
ce13_9," At the beginning of the Hippodrome I saw the Kaiser's Fountain , an ugly octagonal building with a glass dome , built in 1895 by the German Emperor , and on my left , directly across from it , the tomb of Sultan Ahmet , who constructed the Blue Mosque , more properly known by his name ."
ce25_15," Sonar can be used to measure the thickness of the heart by placing small crystal transducers at opposite sides of the heart or blood vessel and exciting one with some pulsed ultrasonic energy . The travel time of sound in tissue is about 1500 meters per second ; ; thus it takes about 16 Msec. to traverse 25 mm. of tissue . A sonar or radar-type of pulse generator and time-delay measuring system is required for body-tissue evaluation . In addition to the heart and aorta , successful measurements of liver and spleen have also been made by this technique . The Doppler effect , using ultrasonic signals , can be employed to measure the flow of blood without cutting into the blood vessel ."
ce22_1," The Serge Prokofieff whom we knew in the United States of America was gay , witty , mercurial , full of pranks and bonheur -- and very capable as a professional musician . These qualities endeared him to both the musicians and the social-economic haute monde which supported the concert world of the post-World War 1 , era . Prokofieff's outlook as a composer-pianist-conductor in America was , indeed , brilliant ."
cg10_8," One is tempted to say that , on the difference between the concepts of sovereignty in these two preambles , the worst war of the Nineteenth century was fought . But though the Southern States , when drafting a constitution to unite themselves , narrowed the difference to this fine point by omitting to assert the right to secede , the fact remained that by seceding from the Union they had already acted on the concept that it was composed primarily of sovereign states . If the Union conceded this to them , the same right must be conceded to each remaining state whenever it saw fit to secede : This would destroy the federal balance between it and the states , and in the end sacrifice to the sovereignty of the states all the liberty the citizens had gained by their Union ."
ck23_3," She signed the letters quickly , stamped them , and placed them on the hall table for Raphael to mail in town . Then she went back to the wicker chair and resolutely adjusted her eyes to the glare on the water ."
ck23_11," She was the last living of the older generation . What had once been a widespread family -- at one time , she knew , there were enough Packards to populate an entire county -- had now narrowed down to the two boys , Abel and Mark . She swung her eyes up to the blue of the window , her jaws gently mashing the bitter beans . What hope lay in the nephews , she asked the intensifying light out there , with one married to a barren woman and the other divorced , having sired two girl children , with none to bear on the Packard name ? ?"
ca12_2, Moritz doesn't even have a nose guard or hip pads but he's one of the most valuable members of the Longhorn team that will be heavily favored Saturday over Oklahoma in the Cotton Bowl .
ca12_11," He went into the Army in March , 1957 , and returned two years later . But he was scholastically ineligible in 1959 and merely present last season ."
ca12_27," Except for sophomore center Mike Kelsey and fullback Mike Rice , Meek expects the squad to be physically sound for Rice ."
ca12_36," The Texans have two more road games -- at Buffalo and Houston -- before they play for the home folks again , and it looks as if coach Hank Stram's men will meet the Bills just as they are developing into the kind of team they were expected to be in pre-season reckonings ."
ca12_50," Arkansas combined 280 yards rushing with 64 yards passing ( on 5 completions in 7 tosses ) and a tough defense to whip TCU , and A & M , with a 38-point bulge against Texas Tech ran up its biggest total loop play since 1950 . Completing 12 of 15 passes for 174 yards , the Aggies had a total offense of 361 yards ."
ck24_50," Oh , he was being queer and careful , pawing about in the drawer and holding the bottle like a snake at the length of his arm . He was awful angry because he'd thought Ma was going to do something big , something heroic even , especially for her I know him I know him we felt the same sometimes while Ma wasn't thinking about that at all , not anything like that . There was no way of getting even . It wasn't like getting cheated at the fair . They were always trying so you got to expect it . Now Hans had given Ma something of his -- we both had when we thought she was going straight to Pa -- something valuable ; ; but since she didn't know we'd given it to her , there was no easy way of getting it back ."
cg43_10," I would say , too , that the study of literature tends to give a person what I shall call depth . I use this term to mean three things : a search for the human significance of an event or state of affairs , a tendency to look at wholes rather than parts , and a tendency to respond to these events and wholes with feeling . It is the obverse of triviality , shallowness , emotional anaesthesia . I think these attributes cluster , but I have no evidence . In fact , I can only say this seems to me to follow from a wide , continuous , and properly guided exposure to literary art ."
ca15_49," Mays and Mantle , both 10-year men at 30 , have so much ability that , baseball men agree , they've never hit the heights . Their heights , that is ."
ca15_54," The truth is , though , that men react differently to different treatment . For that matter , Stan Musial is rare , possessing the disposition that enabled him to put out the same for seven managers , reserving his opinions , but not his effort ."
ca23_22," A 12-year-old girl , Susan Elaine Smith , 9329 NE Schuyler St. was in serious condition Friday at Bess Kaiser Hospital , victim of a bicycle-auto collision in the Gateway Shopping Center , parking area , Deputy Sheriff W. H. Forsyth reported ."
ca23_49," Results : Janet Jossy of North Plains won grand champion honors of the 4-H sheep showman contest . Blue ribbons went to Stephanie Shaw of Hillsboro , Larry Hinton of Beaverton . Joan Zurcher of Hillsboro , Phyllis Jossy of North Plains , Jane Cox of North Plains . Kathy Jossy of Hillsboro , Carol Jossy of North Plains and Lorlyn and Tom Zurcher of Hillsboro ."
cg75_12," The English lady really wanted to put a wreath on the Garibaldi monument on the 30th of April . She had her reasons for this . For one thing , there wasn't going to be any ceremony at all this year . There were a few reasons for that , too : Garibaldi had been taken up and exploited by the Communists nowadays . Therefore the government wanted no part of him . ( It is sort of as if our government should decide to disown Washington or Lincoln for the same reason . ) And then there were ecclesiastical matters , the matter of Garibaldi's anti-clericalism . There was a new Pope and the Vatican was making itself heard and felt these days . As it happens the English lady is a good Catholic herself , but of more liberal political persuasion . Nothing was going to be done this year to celebrate Garibaldi's bold and unsuccessful defense of Rome . All that the English lady wanted to do was to walk up to the monument and lay a wreath at its base . This would show that somebody , even a foreigner living in Rome , cared . And then there were other things . Some of the marble busts in the park are of young Englishmen who fought and died for Garibaldi . She also mentioned leaving a little bunch of flowers at the bust of Lauro Di Bosis ."
ck15_2," They put Kate to bed and wired Jonathan and sent for the young Presbyterian minister . He sat beside Kate's bed with the others throughout the morning , talking , talking of God's will , while Kate lay staring angrily at him . When he told her God had called the child to Him , she rejected his words rebelliously ."
ck15_5," Jonathan's letter came , as she knew it would , and he had accepted their child's death as another judgment from God against both Kate and himself . In blind panic of grief she accepted Jonathan's dictum , and believed in her desperation that she had been cursed by God . She held Jonathan's letter , his words burning like a brand , and knew suddenly that the bonds between them were severed . She had nothing left but her duty to his land and his son . Joel came and sat mutely with her , sharing her pain and anguish , averting his eyes from the ice packs on her bosom ."
ca24_33," Cranston residents have been generous contributors to the fund over the years . Public school children have adopted the fund as one of their favorite Christmas charities and their pennies , nickels , dimes and quarters aid greatly in helping Santa to reach the fund's goal ."
ca24_41, Mr. Sorrentino will be honored on the evening of Dec. 7 at a dinner to be given by the Aurora Club at the Sheraton-Biltmore Hotel .
ca24_57," Dr. Hester , also one of the youngest men ever to head a major American university , succeeds Dr. Carroll V. Newsom who resigned last September to join Prentice-Hall Inc. publishing firm ."
cg11_5," I think that we are here also talking of the kind of fear that a young boy has for a group of boys who are approaching at night along the streets of a large city . If an automobile were approaching him , he would know what was required of him , even though he might not be able to act quickly enough . With the group of boys it is different . He does not know whether to look up or look aside , to put his hands in his pockets or to clench them at his side , to cross the street , or to continue on the same side . When confronted with a drunk or an insane person I have no notion of what any one of them might do to me or to himself or to others . I believe that what I do has some effect on his actions and I have learned , in a way , to commune with drunks , but certainly my actions seem to resemble more nearly the performance of a rain dance than the carrying out of an experiment in physics . I am usually filled with an uneasiness that through some unwitting slip all hell may break loose . Our inability to explain why certain people are fond of us frequently induces the same kind of ritual and malaise . We are forced , in our behavior towards others , to adopt empirically successful patterns in toto because we have such a minimal understanding of their essential elements ."
ca40_2," Old and new briefly crossed paths in the U.S. Senate , then went their respective ways . At a reception for new members of Congress , Oregon Democrat Maurine Neuberger , taking the Senate seat held by her husband Richard until his death last March , got a brotherly buss from Democratic Elder Statesman Adlai Stevenson , U.S. Ambassador-designate to the U.N. . Meanwhile , after 24 years in the Senate , Rhode Island's durable Democrat Theodore Francis Greene -- having walked , swum and cerebrated himself to the hearty age of 93 -- left that august body ( voluntarily , because he could surely have been re-elected had he chosen to run again last November ) , as the oldest man ever to serve in the Senate ."
cg29_2," All we want from Dr. Huxley's statement is the feeling that this is an open world , in the view of the best scientific opinion , with practically no directional commitments as to what may happen next , and no important confinements with respect to what may be possible ."
ce12_22," For shooting the interiors of the famous ante-bellum Southern mansions make sure your equipment includes a tripod . Enough daylight is usually available from the windows , but if you have synchronized flash -- use it ."
ce12_39," For early vacationers there's the fun-filled Fishing Derby in Hot Springs , Arkansas , April 19-23 , and the Arkansas Band Festival in Hot Springs , April 20-22 ."
cc17_8," Americans eat too much fat . With meat , milk , butter and ice cream , the calorie-heavy U.S. diet is 40% fat , and most of that is saturated fat -- the insidious kind , says Dr. Keys , that increases blood cholesterol , damages arteries , and leads to coronary disease ."
cc17_21," When thus deposited , Keys says that cholesterol is mainly responsible for the arterial blockages that culminate in heart attacks . Explains Keys : As the fatty protein molecules travel in the bloodstream , they are deposited in the intima , or inner wall of a coronary artery . The proteins and fats are burned off , and the cholesterol is left behind . As cholesterol piles up , it narrows , irritates and damages the artery , encouraging formation of calcium deposits and slowing circulation . Eventually , says Keys , one of two things happens . A clot forms at the site , seals off the flow of blood to the heart and provokes a heart attack . Or ( more commonly , thinks Keys ) the deposits themselves get so big that they choke off the artery's flow to the point that an infarct occurs : the heart muscle is suffocated , cells supplied by the artery die , and the heart is permanently , perhaps fatally injured ."
cc17_24," During World War 2 , , doctors in The Netherlands and Scandinavia noted a curious fact : despite the stresses of Nazi occupation , the death rate from coronary artery disease was slowly dropping . Not until long after the war -- 1950 , in fact -- did they get a hint of the reason . That year , Sweden's Haqvin Malmros showed that the sinking death rate neatly coincided with increasingly severe restrictions on fatty foods . That same year the University of California's Dr. Laurance Kinsell , timing oxidation rates of blood fats , stumbled onto the discovery that many vegetable fats cause blood cholesterol levels to drop radically , while animal fats cause them to rise . Here Keys and others , such as Dr. A. E. Ahrens of the Rockefeller Institute , took over to demonstrate the chemical difference between vegetable and animal fats -- and even between different varieties of each ."
ca25_32," John Di Massimo has been elected president of the 1961 Columbus Day Celebration Committee , it was announced yesterday ."
ca25_34, Judge John B. Molinari was named chairman of the executive committee . Elected to the board of directors were :
ck13_9," Eugene offered Harold his car , to use at any time he cared to , and when this offer was not accepted , the armchair creaked . They all three had another cup of coffee . Eugene was in his pajamas and dressing gown , and on his large feet he wore yellow Turkish slippers that turned up at the toes ."
ck13_17," The concierge called out to them as they were passing through the foyer . Her quarters were on the right as you walked into the building , and her small front room was clogged with heavy furniture -- a big , round , oak dining table and chairs , a buffet , with a row of unclaimed letters inserted between the mirror and its frame . The suitcases had come while they were out , and had been put in their room , the concierge said ."
ca22_9," Emory is affiliated with the Methodist Church . Some church leaders , both clerical and lay , have criticized the university for not taking the lead in desegregation ."
cc10_32," Kid Ory , the trombonist chicken farmer , is also one of the solid anchor points of jazz . He dates back to the days before the first sailing ship pulled into New Orleans . His horn has blown loud and clear across the land for more years than he cares to remember ."
ca14_5," Van Brocklin , the quarterback who led the Eagles to the title , was signed by the Vikings last Wednesday . Philadelphia permitted him to seek a better connection after he had refused to reconsider his decision to end his career as a player ."
ca13_11, Chico Ruiz made a spectacular play on Alusik's grounder in the hole in the fourth and Wert came up with some good stops and showed a strong arm at third base .
ca13_14," Turk Lown was tagged with the loss , his second against no victories , while Ray Moore won his second game against a single loss ."
ca13_32, And so it was over the weekend what with 40-year-old Warren Spahn pitching his no-hit masterpiece against the Giants and the Giants' Willie Mays retaliating with a record-tying 4-homer spree Sunday .
ca13_45," This is an issue which boils down to a matter of opinion , depending on whether you're an American or National fan and anti or pro-Yankee . The record books , however , would favor the Giants' ace ."
cg45_16," Hearst won the Iowa state convention , but ran into a bitter battle in Indiana before losing to Parker , drawing an angry statement from Indiana's John W. Kern :"
cg67_0," He looked at her as she spoke , then got up as she was speaking still , and , simply and wordlessly , walked out . And that was the end . Or nearly ."
ca31_41," When he attended the Christian Anti-Communist Crusade school here about six months ago , Jim became convinced that an individual can do something constructive in the ideological battle and set out to do it ."
cc03_27," Their singing was well-balanced , clear and , within obvious limitations , extremely pleasing . The limitations are those one expects from untrained and unsettled voices -- an occasional shrillness of almost earsplitting intensity , an occasional waver and now and then a bleat ."
cc04_28," Sparrow-size Virginia Gibson , with sparkling blue eyes and a cheerful smile , made a suitably perky Amy , while Melisande Congdon , as the real aunt , was positively monumental in the very best Gibson Girl manner ."
ca36_5," Let us look at the heavy-electrical-goods industry in which General Electric , Westinghouse and a number of other manufacturers were recently convicted of engaging in a conspiracy to rig prices and allocate the market . The industry is so structured that price-setting by a multi-product company will vary with the way overhead charges are allocated -- whether marginal or average pricing is applied ."
cg60_10, I went to visit Alfred in the Kingston Hospital a few times . The first time I went there he asked me to bring him water from Flagler's well -- water that reminded him of his first days in the mountains -- and before I came the next time I filled a five-gallon jug for him and brought it to the hospital . I don't think he ever got to drink any of it .
ca09_44, The commission also approved a novel plan that would eliminate traffic hazards for pedestrians in the project .
ca07_9," In talks with Mr. Buckley last week in Washington , the Mayor apparently received the Bronx leader's assent to dropping Controller Lawrence E. Gerosa , who lives in the Bronx , from this year's ticket . But Mr. Buckley seems to have assumed he would be given the right to pick Mr. Gerosa's successor ."
ca07_10," Screvane and Beame hailed The Mayor declined in two interviews with reporters yesterday to confirm or deny the reports that he had decided to run and wanted Mr. Screvane , who lives in Queens , to replace Abe Stark , the incumbent , as the candidate for President of the City Council and Mr. Beame , who lives in Brooklyn , to replace Mr. Gerosa as the candidate for Controller ."
ca07_23," Leadership is hopeful The housing bill is expected to encounter strong opposition by the coalition of Southern Democrats and conservative Republicans . The Democratic leadership , however , hopes to pass it sometime this week ."
ck09_1," The rider from Concord was as good as his word . He came spurring and whooping down the road , his horse kicking up clouds of dust , shouting :"
ca38_9," But Palmer knew , as did everybody else at Augusta , that his streak was about to be broken . Half an hour after he finished his round , Player holed out at the 18th green with a 69 and a three-round total of 206 , four strokes ahead of Palmer ."
ce30_64," Choose carefully between contributory or non-contributory pension plans . There are two sides of a coin for this decision . Workers usually think more of a plan they contribute to . And they can at least collect the money they put in , plus interest , when they leave the company . A non-contributory plan usually won't pay off for the worker until he retires . Thus , there is an added incentive to stay on the job ."
ce06_19," As the ungoverned days of the automobile and the airplane are long since relegated to the past , so is the carefree attitude toward what a boatman may and may not do ; ; must and should do . However , there is a minimum of legislative restriction on boating ."
ce06_20," Laws on boating vary according to the state in which the craft is to be used and according to its horsepower . What may be acceptable in one state may be strictly prohibited across the boundary line . The main requirement is to be sure the boat is numbered according to the regulations of the state in which the boat will be principally used . If your state has no provisions for the numbering of pleasure boats , you must apply for a number from the U.S. Coast Guard for any kind of boat with mechanical propulsion rated at more than 10 horsepower before it can be used on Federal waterways ."
cm02_0," The expense and time involved are astronomical . However , we sent a third vessel out , a much smaller and faster one than the first two . We have learned much about interstellar drives since a hundred years ago ; ; that is all I can tell you about them ."
cp24_26," Riverside and Anniston players rushed out on the field . In the next moment , it seemed , the infield was crowded with spectators , ballplayers , cops , kids and a dog . There was much shouting and screaming . Fights sprang up and were quickly squelched . Mike and the Anniston pitcher were pulled away before they even came together ."
ck08_10," But at the same time how understandable . How could the rich , for whom life was made so simple , ever understand the subterfuges , the lies , the frauds , the errors , sins and even crimes to which the poor were driven in their efforts to overcome the great advantages the rich had in the race of life ? ?"
ck08_13," Ever since he had first begun to study music and to teach it , Rousseau had dreamed of piercing through to fame as the result of a successful opera . But his facility in this genre was not great . And his efforts to get a performance for his Gallant Muses invariably failed . And for good reasons . His operatic music had little merit ."
ca06_46," The outgoing members , whose four-year terms will expire a week after the April 18 primary election , received carved wooden elephants , complete with ivory tusks , to remember the state committee by ."
ca01_46, A revolving fund The department apparently intends to make the Rural Roads Authority a revolving fund under which new bonds would be issued every time a portion of the old ones are paid off by tax authorities .
ca37_4," But by week's end the Laotian cry of invasion was read as an exaggeration ( see foreign news ) , and the U.S. was agreeing with its cautious British and French allies that a neutralist -- rather than a pro-Western -- government might be best for Laos . French & Indians ."
